"x1","y1","x2","y2"
491.689821,-3549.996967,387.799128,-3534.998328
73.630497,-3443.364234,387.799128,-3534.998328
609.735665,-3370.433793,491.689821,-3549.996967
609.735665,-3370.433793,696.580314,-3396.803748
45.412605,-3271.474037,73.630497,-3443.364234
263.963555,-3235.911678,73.630497,-3443.364234
263.963555,-3235.911678,45.412605,-3271.474037
415.517349,-3439.797004,387.799128,-3534.998328
415.517349,-3439.797004,491.689821,-3549.996967
415.517349,-3439.797004,73.630497,-3443.364234
734.085384,-3372.320265,696.580314,-3396.803748
734.085384,-3372.320265,609.735665,-3370.433793
1854.170172,-3580.903837,1476.080668,-3579.182425
903.037271,-3442.267145,696.580314,-3396.803748
903.037271,-3442.267145,734.085384,-3372.320265
1415.801144,-3320.948932,1744.584188,-3434.062566
1500.835562,-3157.030605,1745.023024,-3171.770883
1579.676165,-3538.807343,1476.080668,-3579.182425
1579.676165,-3538.807343,1744.584188,-3434.062566
1918.74432,-3135.519801,1745.023024,-3171.770883
958.931738,-3421.917076,1405.708131,-3398.902272
958.931738,-3421.917076,903.037271,-3442.267145
958.931738,-3421.917076,898.449144,-3113.968151
1219.573143,-3155.502503,1405.708131,-3398.902272
1219.573143,-3155.502503,1415.801144,-3320.948932
1219.573143,-3155.502503,898.449144,-3113.968151
1742.051019,-3241.679908,1745.023024,-3171.770883
1742.051019,-3241.679908,1744.584188,-3434.062566
1742.051019,-3241.679908,1415.801144,-3320.948932
3065.373922,-3342.966446,2877.700692,-3159.647891
3065.373922,-3342.966446,3186.102636,-3158.628671
3065.373922,-3342.966446,3232.221421,-3471.079832
2153.012264,-3160.703616,1918.74432,-3135.519801
2713.653356,-3100.797762,2877.700692,-3159.647891
2695.368827,-3492.189659,2593.648413,-3549.951266
2660.052294,-3466.013039,2593.648413,-3549.951266
2660.052294,-3466.013039,2695.368827,-3492.189659
3116.581327,-3563.478611,2593.648413,-3549.951266
2772.926311,-3392.357946,2763.965725,-3268.441063
2772.926311,-3392.357946,2660.052294,-3466.013039
2530.552636,-3465.524182,2593.648413,-3549.951266
2361.679753,-3455.242664,2530.552636,-3465.524182
2345.729892,-3253.449167,2153.012264,-3160.703616
2345.729892,-3253.449167,2361.679753,-3455.242664
2104.010363,-3440.4406,1744.584188,-3434.062566
