 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,200357.470,461.014,1868.282,2315.625,0.470,4.215,0.237,1.112,0,1,681615,510.218,169.662,76333.616,875.346,-3782.181,-0.102,-0.357,-1.209,-0.749,-2.862,3.920E15,0.113,0.012,2.304E-5,1.302E-5,2.241E-10,1.345E-6,-2.578E-11,8.491,5.090,3.401,78.426
2,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,137307.949,1280.091,1884.936,1822.883,0.519,4.025,0.248,1.186,0,1,732360,1280.405,127.646,57219.200,1824.675,440.845,0.091,-1.219,-1.234,1.069,0.456,2.248E15,0.081,0.006,2.589E-5,8.217E-6,8.491E-11,1.001E-7,8.458E-11,7.968,5.481,2.487,78.411
3,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,184651.249,2045.420,1873.581,2135.487,0.509,4.292,0.233,1.382,0,1,1205385,2008.098,121.941,73033.822,2496.993,392.130,0.195,-0.077,-1.201,-0.927,0.319,5.998E15,0.063,0.003,1.198E-5,8.749E-6,8.930E-11,4.664E-7,6.788E-12,7.601,5.165,2.436,80.149
4,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,16556.631,2642.695,1953.823,776.525,0.345,7.516,0.133,1.301,0,1,215475,2634.668,28.595,11484.063,79.814,-324.879,0.054,0.330,-1.287,-0.456,-1.630,2.811E13,0.054,0.003,1.733E-6,6.306E-7,5.991E-13,1.896E-8,2.750E-13,7.417,3.743,3.674,84.045
5,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,14826.013,2922.029,1940.197,486.786,0.786,2.694,0.371,1.436,0,1,195585,2930.666,50.743,4196.677,272.500,-23.004,-0.274,-0.760,-1.403,-0.057,-0.336,3.012E12,0.023,4.026E-4,1.945E-6,7.418E-7,7.561E-13,9.948E-9,-4.715E-13,6.103,4.131,1.973,71.182
6,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,14867.272,3068.887,1941.711,507.982,0.724,2.936,0.341,1.440,0,1,199155,3063.724,45.055,4807.318,283.400,-201.465,0.257,-0.792,-1.453,0.075,-2.545,4.108E12,0.026,5.201E-4,1.109E-6,8.812E-7,8.600E-13,2.000E-8,1.396E-13,6.276,4.209,2.067,75.167
7,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,34685.718,3253.596,1903.861,694.527,0.904,1.608,0.622,1.214,0,1,269025,3247.838,90.881,7662.814,2015.052,236.655,0.178,-0.403,-1.646,-1.314,2.395,8.641E12,0.036,4.438E-4,4.219E-6,2.024E-6,3.021E-12,-4.466E-9,5.086E-12,6.514,5.546,0.968,49.613
8,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,27967.251,3467.827,1914.459,655.619,0.818,1.771,0.565,1.134,0,1,238935,3471.064,88.789,7282.635,1288.785,-130.039,-0.082,-1.063,-1.652,-0.170,-1.242,8.600E12,0.036,6.305E-4,3.302E-6,1.453E-6,-2.443E-12,-2.953E-8,-2.042E-12,6.610,5.359,1.251,57.252
9,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,7170.032,3666.919,1959.879,448.639,0.448,5.913,0.169,1.197,0,1,79560,3673.436,26.718,5605.533,78.532,-116.183,-0.316,-0.614,-1.607,-1.049,-1.204,2.435E12,0.071,0.005,4.342E-5,3.542E-5,1.387E-9,2.307E-6,-6.430E-11,7.819,4.718,3.102,79.392
10,Cropped_MAX_File_167_08-19-19_DYM_34_8_Prox3_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,64181.873,3963.664,1892.506,1015.900,0.781,2.232,0.448,1.479,0,1,476340,3966.055,110.559,17118.650,2050.656,-828.769,-0.193,-0.430,-1.555,-0.947,-3.139,1.095E14,0.040,0.001,2.780E-6,2.122E-6,4.770E-12,4.301E-8,-1.953E-12,6.851,5.303,1.549,66.414
