 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
24,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,250383.553,1244.510,1201.348,1753.014,1.000,1.050,0.953,1.322,0,1,2076975,1240.468,1684.576,29001.913,32111.120,1937.909,0.144,0.045,-1.562,-1.617,64.368,5.128E13,0.029,5.723E-6,4.188E-9,1.278E-7,-1.621E-16,9.650E-12,2.954E-15,5.672,5.554,0.118,9.461
25,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,91042.101,939.724,1207.784,1066.217,1.000,1.253,0.798,1.496,0,1,1253835,941.777,1693.570,8263.235,13457.243,-1311.359,-0.136,-0.075,-1.514,-1.390,-76.604,4.245E13,0.017,2.154E-5,6.977E-7,1.727E-8,1.855E-15,-2.879E-11,-3.933E-16,5.137,4.741,0.396,45.391
26,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,126916.276,425.943,1134.333,1180.579,1.000,1.255,0.797,1.458,0,1,1379040,423.868,1755.486,17613.949,10131.104,-215.558,0.050,-0.072,-1.360,-1.453,-1.649,7.747E13,0.020,2.954E-5,1.391E-7,5.098E-8,-3.515E-15,2.551E-10,-2.463E-15,5.356,4.956,0.400,45.906
27,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,47216.020,714.069,1154.021,778.020,0.980,1.035,0.966,1.225,0,1,815235,715.950,1740.524,5908.147,6147.327,-42.790,0.028,-0.157,-1.609,-1.597,-80.156,52607759092.426,0.015,9.710E-8,6.790E-8,7.847E-9,-6.543E-17,6.942E-13,-1.689E-16,4.596,4.566,0.030,16.244
28,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,630260.239,1251.325,643.647,3551.761,0.628,1.918,0.521,1.379,0,1,4203930,1201.516,2245.382,29756.113,106700.336,346.755,0.437,0.189,-1.207,-1.300,89.742,2.489E16,0.032,3.350E-4,3.716E-6,1.368E-6,-1.329E-13,-5.629E-9,3.080E-12,6.346,5.425,0.921,50.857
29,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,90624.666,268.060,937.831,1042.340,1.000,1.276,0.784,1.428,0,1,1116900,276.286,1960.562,8196.702,12902.896,-581.426,-0.010,0.019,-1.573,-1.438,-83.060,2.625E13,0.019,1.884E-5,6.544E-7,9.119E-8,-2.056E-14,3.956E-10,8.571E-15,5.218,4.881,0.337,43.250
30,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,72954.783,703.468,954.112,934.445,1.000,1.577,0.634,1.351,0,1,1072530,714.067,1922.142,13136.500,5673.561,-109.538,-0.134,0.095,-1.478,-1.543,-0.841,5.979E13,0.018,4.846E-5,1.863E-7,1.518E-8,8.005E-16,9.309E-11,-1.035E-16,5.295,4.689,0.606,50.240
31,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,48394.929,982.887,962.063,821.755,0.901,1.896,0.528,1.256,0,1,832575,969.867,1921.177,10792.065,3774.181,228.629,0.259,-0.078,-1.494,-1.663,1.864,4.118E13,0.017,7.135E-5,2.349E-7,1.320E-7,2.173E-14,9.750E-10,8.253E-15,5.377,4.618,0.760,56.103
32,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,43167.818,448.281,904.513,725.938,1.000,1.352,0.740,1.674,0,1,806565,437.900,1979.963,2932.059,6097.774,-992.553,0.424,0.054,-1.153,-1.386,-73.955,1.126E13,0.011,2.146E-5,3.509E-7,8.384E-9,-7.396E-17,2.220E-11,-4.487E-16,4.664,4.029,0.635,38.740
33,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,111080.125,1282.750,840.906,1140.171,1.000,1.280,0.781,1.339,0,1,1265565,1271.112,2033.716,16339.187,11462.147,-1203.740,0.172,0.140,-1.497,-1.628,-13.136,3.744E13,0.022,1.847E-5,4.529E-7,6.622E-8,9.206E-15,2.834E-10,-6.837E-15,5.395,5.109,0.286,43.972
34,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,1.147,538.770,950.326,3.656,1.000,2.000,0.500,1.000,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.000
35,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,1.147,539.527,948.054,3.656,1.000,2.000,0.500,1.000,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.000
36,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,44948.798,522.111,857.943,706.250,1.000,1.432,0.699,1.635,0,1,813960,522.160,2046.063,7189.724,3247.892,-866.464,0.036,-0.355,-1.388,-1.345,-11.866,1.509E13,0.013,2.799E-5,3.674E-7,1.837E-8,1.391E-15,1.100E-11,5.854E-16,4.859,4.226,0.633,47.121
37,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,73649.170,853.021,755.338,969.170,0.985,1.328,0.753,1.405,0,1,1158210,856.144,2131.792,6158.607,11212.104,-642.911,0.038,-0.084,-1.588,-1.542,-82.862,3.149E13,0.015,2.027E-5,1.363E-7,4.099E-10,5.407E-19,2.050E-13,-3.016E-18,4.965,4.519,0.447,50.603
38,MAX_File_163_10-8-19_DYM_8_6_Prox_Chat-g_CalB-r_CalR-b_SP-m.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,55072.168,1053.688,786.385,810.254,1.000,1.182,0.846,1.470,0,1,875925,1048.532,2102.963,6432.765,5914.756,1630.112,-0.074,-0.238,-1.414,-1.569,40.486,9.545E12,0.014,1.420E-5,8.517E-8,1.276E-8,-2.335E-16,4.743E-11,3.501E-16,4.839,4.444,0.395,51.900
