 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
72,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,92421.897,1040.121,1645.723,1100.380,0.959,1.094,0.914,1.303,0,1,630615,1031.822,1239.412,13065.662,10051.470,-293.321,0.047,-0.033,-1.610,-1.602,-5.507,5.946E12,0.037,2.371E-5,8.831E-8,2.753E-8,4.553E-16,1.285E-10,1.279E-15,6.056,5.863,0.193,43.318
73,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,54176.378,1267.979,1619.228,833.396,0.980,1.124,0.890,1.341,0,1,456705,1271.151,1261.255,5902.600,6955.790,99.001,-0.070,0.022,-1.595,-1.593,84.676,524486528831.855,0.028,5.506E-6,3.063E-8,3.534E-8,1.152E-15,-3.778E-11,1.569E-16,5.611,5.490,0.121,43.421
74,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,150598.181,2137.774,1572.294,1397.566,0.969,1.298,0.771,1.463,0,1,868785,2145.871,1317.274,23704.097,12491.763,-3655.642,-0.154,-0.110,-1.413,-1.410,-16.554,1.557E14,0.042,2.374E-4,1.758E-6,3.031E-7,1.722E-13,3.666E-9,-1.389E-13,6.515,5.955,0.560,60.966
75,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,56814.711,143.830,1623.770,770.238,1.000,1.059,0.944,1.593,0,1,423300,152.018,1258.906,7004.782,5249.169,-1721.632,-0.154,-0.016,-1.426,-1.381,-31.492,6.323E12,0.029,8.337E-5,4.107E-7,5.377E-8,6.478E-15,-1.654E-11,-4.678E-15,5.931,5.460,0.471,55.315
76,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,149750.063,1550.341,1557.154,1404.420,0.954,1.183,0.845,1.368,0,1,887400,1544.480,1315.245,20586.726,13792.439,220.412,0.066,0.038,-1.526,-1.556,1.856,4.114E13,0.039,5.887E-5,7.393E-7,2.108E-7,5.085E-14,1.143E-9,-6.585E-14,6.217,5.927,0.290,41.535
77,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50868.719,1821.347,1582.135,816.330,0.959,1.041,0.961,1.329,0,1,464100,1828.683,1304.301,5837.391,5773.213,-133.379,-0.064,-0.067,-1.533,-1.600,-38.236,34936819075.457,0.025,3.495E-7,9.693E-7,4.349E-8,-6.707E-15,9.142E-12,5.897E-15,5.359,5.325,0.034,35.991
78,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,17776.087,37.093,1523.846,600.013,0.620,3.511,0.285,1.339,0,1,179265,43.427,1369.471,367.495,6437.575,714.160,-0.124,-0.081,-1.383,-1.294,83.379,6.971E12,0.038,0.001,7.030E-6,1.019E-6,-6.326E-13,-9.811E-9,2.653E-12,6.865,4.606,2.259,74.960
79,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,296873.254,345.193,1407.267,2118.254,0.831,1.273,0.786,1.423,0,1,1658775,332.437,1477.902,37317.348,24596.291,-2374.989,0.071,0.044,-1.270,-1.437,-10.238,3.059E14,0.037,6.701E-5,7.381E-7,3.007E-7,1.242E-13,-8.159E-10,-6.810E-14,6.188,5.867,0.322,45.961
80,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,16352.624,760.787,1585.163,428.367,1.000,1.061,0.943,1.328,0,1,193545,759.834,1298.203,1866.816,2059.627,-267.233,-0.046,-0.081,-1.539,-1.619,-54.919,62482200822.555,0.020,8.618E-6,3.177E-7,9.203E-8,1.388E-14,-2.628E-10,7.422E-15,5.218,5.007,0.210,25.186
81,RightCropped_MAX_File_106_09-16-20019_DYM_34_8_Chat_YFP_Pr2_GFP-g_VIP-r_nNOS-b2.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,19506.705,838.759,1546.556,464.094,1.000,1.554,0.643,1.506,0,1,260355,843.395,1334.343,1383.932,3141.916,-42.543,-0.072,-0.022,-1.511,-1.440,-88.615,806514285442.222,0.017,4.570E-5,2.284E-8,2.495E-10,5.747E-19,1.124E-12,-1.561E-19,5.274,4.681,0.592,55.445
