 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
88,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,31318.644,1301.851,646.480,646.579,0.941,1.307,0.765,1.460,0,1,1171470,1308.160,1431.319,4294.985,2701.399,194.386,-0.027,0.362,-1.522,-1.316,6.855,3.152E12,0.006,1.961E-6,2.729E-8,6.509E-11,-4.575E-20,9.095E-14,-7.371E-20,3.562,3.218,0.345,26.303
89,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,37232.503,1091.805,617.640,654.640,1.000,1.033,0.968,1.682,0,1,1209210,1088.892,1460.399,3038.698,3973.082,-501.091,0.112,0.322,-1.324,-1.238,-66.497,2.270E12,0.006,1.284E-6,2.741E-8,1.080E-9,-2.366E-18,-6.844E-13,5.379E-18,3.473,3.188,0.286,45.232
90,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,81389.845,1488.105,565.970,1032.737,0.959,1.415,0.707,1.711,0,1,2047650,1462.639,1530.008,11341.417,5633.873,-2399.538,0.277,0.060,-1.289,-1.312,-20.029,1.139E14,0.008,1.326E-5,8.769E-8,2.894E-9,4.290E-17,6.478E-12,-1.689E-17,4.257,3.577,0.680,46.227
91,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,71074.206,1250.902,565.009,1010.740,0.874,1.245,0.803,1.744,0,1,2153220,1255.749,1540.605,8553.596,5567.984,467.860,-0.129,-0.280,-1.412,-1.331,8.701,2.108E13,0.007,2.111E-6,1.138E-8,9.854E-10,-3.219E-18,8.416E-13,-7.275E-19,3.682,3.357,0.325,32.964
92,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,109522.841,902.908,494.833,1179.451,0.989,1.287,0.777,1.472,0,1,2335035,894.486,1598.752,13664.379,10515.702,-575.708,0.044,0.014,-1.381,-1.486,-10.043,2.625E13,0.010,2.061E-6,9.732E-9,3.136E-10,-5.317E-19,-3.403E-13,-1.319E-19,4.240,4.038,0.201,44.439
93,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,35578.341,391.012,536.890,709.636,0.888,1.039,0.963,1.270,0,1,1261230,391.185,1550.309,4359.090,4413.178,22.932,0.005,0.112,-1.520,-1.603,69.851,6342767930.849,0.007,3.162E-9,2.353E-9,7.256E-10,6.879E-19,3.627E-14,6.525E-19,3.490,3.478,0.012,23.432
94,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,67923.905,608.748,516.463,1003.686,0.847,1.568,0.638,1.340,0,1,1940805,601.556,1575.702,11419.139,5415.051,50.306,0.071,-0.014,-1.469,-1.626,0.480,6.998E13,0.009,9.573E-6,2.467E-8,1.250E-10,4.105E-21,2.066E-13,2.194E-19,4.237,3.699,0.538,53.029
95,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,91677.300,1571.017,453.978,1063.769,1.000,1.176,0.851,1.528,0,1,2068815,1588.131,1657.430,11377.306,8113.275,-1140.617,-0.090,-0.200,-1.495,-1.344,-17.475,3.281E13,0.009,3.705E-6,7.566E-8,4.010E-10,-2.205E-18,7.613E-13,1.369E-19,4.184,3.885,0.299,33.743
96,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,106829.977,288.152,385.725,1169.066,0.982,1.408,0.710,1.550,0,1,2342685,289.956,1683.958,16176.533,8028.500,2515.898,0.008,0.378,-1.384,-1.299,15.849,2.148E14,0.010,1.671E-5,8.722E-8,9.862E-11,-2.169E-19,4.031E-13,-1.914E-19,4.530,3.926,0.604,56.885
97,MAX_File_170_02-12-19_KYM_3_1_Prox2_GGRP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,42650.345,1036.530,420.813,699.270,1.000,1.082,0.924,1.736,0,1,1320900,1043.628,1675.282,4058.601,4306.644,-1596.208,-0.141,-0.066,-1.256,-1.445,-47.221,1.354E13,0.006,5.876E-6,1.255E-8,4.605E-10,6.197E-19,5.863E-13,9.173E-19,3.811,3.229,0.582,52.217
