 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,138636.364,417.424,1377.273,2025.735,0.425,4.991,0.200,1.546,0,1,996795,462.222,93.407,49609.911,2413.647,3807.565,-0.131,0.204,-0.805,-1.482,4.583,2.278E15,0.052,0.002,3.284E-6,2.030E-6,5.237E-12,9.578E-8,-2.109E-13,7.326,5.043,2.283,81.388
2,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,18184.114,887.121,1393.182,530.860,0.811,1.000,1.000,1.121,0,1,189465,894.838,94.883,2573.566,1477.302,-377.628,-0.235,-0.789,-1.675,-0.537,-17.282,335770832803.311,0.021,4.937E-5,1.601E-6,5.815E-7,-2.080E-13,-3.755E-9,5.212E-13,5.508,5.016,0.492,33.641
3,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,27066.116,1041.667,1392.424,588.410,0.982,1.456,0.687,1.448,0,1,207060,1029.674,82.255,4695.090,1569.845,-1637.864,0.113,-0.206,-1.429,-1.203,-23.173,4.244E12,0.030,4.781E-4,7.711E-6,1.596E-6,4.618E-13,9.111E-9,5.579E-12,6.384,5.066,1.317,51.302
4,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,3760.331,1175.000,1440.909,230.645,0.888,2.423,0.413,1.379,0,1,65025,1168.725,27.299,1203.991,101.367,-35.267,0.286,-0.435,-1.678,-1.022,-1.830,79379544632.735,0.020,2.887E-4,1.298E-6,6.051E-7,4.884E-13,7.293E-9,2.216E-13,5.892,4.098,1.794,60.781
5,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,45959.596,1309.091,1362.121,755.050,1.000,1.185,0.844,1.229,0,1,283815,1316.749,116.032,8054.347,3859.370,809.688,-0.095,-0.297,-1.766,-1.264,10.554,5.739E12,0.042,2.510E-4,5.685E-6,1.975E-6,-6.303E-12,-2.133E-8,-2.007E-12,6.534,5.961,0.573,36.679
6,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,14439.853,1460.606,1396.212,454.367,0.879,1.149,0.871,1.097,0,1,91545,1443.811,95.765,1504.083,1361.288,841.231,0.509,-1.127,-1.401,-0.225,42.574,261000931753.117,0.031,3.402E-4,2.100E-5,4.158E-6,1.409E-11,-1.128E-8,-3.622E-11,6.317,5.340,0.976,28.569
7,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,74545.455,125.758,1281.818,989.029,0.958,1.207,0.828,1.382,0,1,449055,155.808,179.834,5452.946,9062.648,435.890,-0.533,-0.129,-0.854,-1.199,83.211,6.192E12,0.032,6.839E-5,2.528E-6,3.693E-7,-2.861E-13,7.766E-10,-2.132E-13,6.023,5.646,0.377,57.191
8,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,10342.057,491.667,1361.364,359.603,1.000,1.604,0.624,1.487,0,1,170850,493.150,100.283,764.421,1707.578,17.292,-0.165,-0.059,-1.611,-1.334,88.950,152183360312.305,0.014,3.052E-5,1.239E-7,3.251E-8,-1.905E-15,1.794E-10,7.910E-16,5.001,4.421,0.580,57.430
9,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,138223.140,1143.182,1221.212,1261.285,1.000,1.211,0.826,1.621,0,1,832065,1147.919,257.490,10845.230,16520.466,1757.012,0.001,-0.181,-1.238,-1.298,74.117,3.707E13,0.033,6.436E-5,1.878E-7,2.994E-7,7.056E-14,2.260E-9,-7.801E-15,6.034,5.675,0.359,57.150
10,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,20927.456,584.848,1359.091,527.068,0.947,1.233,0.811,1.240,0,1,257550,580.063,104.566,3140.198,2302.908,61.565,0.220,2.678E-4,-1.555,-1.633,4.183,184461349158.837,0.021,1.080E-5,2.002E-7,6.845E-8,7.759E-15,2.171E-10,-2.001E-15,5.290,5.064,0.226,32.761
11,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,18755.739,417.424,1353.030,477.848,1.000,1.105,0.905,1.376,0,1,226185,413.287,116.148,2179.525,2109.653,513.719,0.044,-0.214,-1.585,-1.450,43.055,239871570961.833,0.019,2.073E-5,7.862E-8,3.147E-8,1.223E-15,-2.209E-11,-9.763E-16,5.236,4.882,0.353,42.757
12,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,41088.154,293.939,1291.667,702.774,1.000,1.377,0.726,1.516,0,1,402135,295.240,160.950,3148.279,6106.140,141.295,0.032,0.128,-1.489,-1.457,87.271,3.550E12,0.023,5.460E-5,4.073E-7,7.695E-8,1.057E-15,2.765E-11,1.358E-14,5.606,5.126,0.480,54.569
13,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,9256.198,1468.182,1303.788,332.483,1.000,1.016,0.984,1.371,0,1,132090,1458.050,157.330,887.272,1080.451,123.558,0.332,0.167,-1.298,-1.688,64.008,12995621885.184,0.015,5.639E-6,2.346E-7,1.780E-7,-2.739E-14,-1.608E-11,2.392E-14,4.790,4.558,0.232,40.242
14,AVG_File_87_01-31-2019_CYM_1_4_Calb2_3B_YFP_PRox-mid_GFP-g_Hu-b.lif - TileScan_002_Merging001_ProjMax001-watershed-lines.tif,39664.830,912.121,1214.394,704.638,1.000,1.538,0.650,1.376,0,1,363630,915.035,235.596,2977.734,6652.228,-136.556,-0.235,0.091,-1.545,-1.401,-87.875,4.937E12,0.026,1.027E-4,1.197E-6,8.336E-10,1.873E-17,-8.433E-12,1.851E-17,5.874,5.293,0.582,54.678
