"","Sinkhorn_distance","Category"
"123",0.119147163,"Abd vs. Cerv"
"124",0.053249172,"Abd vs. Cerv"
"125",0.077521405,"Abd vs. Cerv"
"126",0.145107313,"Abd vs. Cerv"
"127",0.081402566,"Abd vs. Cerv"
"128",0.085470662,"Abd vs. Cerv"
"129",0.127342662,"Abd vs. Cerv"
"130",0.069245888,"Abd vs. Cerv"
"131",0.125789849,"Abd vs. Cerv"
"132",0.058252531,"Abd vs. Cerv"
"133",0.047482901,"Abd vs. Cerv"
"134",0.066907132,"Abd vs. Cerv"
"135",0.039565545,"Abd vs. Cerv"
"136",0.052602036,"Abd vs. Cerv"
"137",0.121782401,"Abd vs. Cerv"
"138",0.063072291,"Abd vs. Cerv"
"139",0.063148081,"Abd vs. Cerv"
"140",0.114509376,"Abd vs. Cerv"
"141",0.039372472,"Abd vs. Cerv"
"142",0.106509424,"Abd vs. Cerv"
"143",0.071159175,"Abd vs. Cerv"
"144",0.073144225,"Abd vs. Cerv"
"145",0.084594301,"Abd vs. Cerv"
"146",0.154257041,"Abd vs. Cerv"
"147",0.100347003,"Abd vs. Cerv"
"148",0.098113943,"Abd vs. Cerv"
"149",0.072556637,"Abd vs. Cerv"
"150",0.086533315,"Abd vs. Cerv"
"151",0.078798358,"Abd vs. Cerv"
"152",0.081302103,"Abd vs. Cerv"
"153",0.057165648,"Abd vs. Cerv"
