"","Sinkhorn_distance","Category"
"104",0.108486168,"Pelvic vs. Abd Vagus"
"105",0.133141961,"Pelvic vs. Abd Vagus"
"106",0.070683191,"Pelvic vs. Abd Vagus"
"107",0.081544226,"Pelvic vs. Abd Vagus"
"108",0.1044084,"Pelvic vs. Abd Vagus"
"109",0.152365358,"Pelvic vs. Abd Vagus"
"110",0.065778248,"Pelvic vs. Abd Vagus"
"111",0.180278007,"Pelvic vs. Abd Vagus"
"112",0.070489115,"Pelvic vs. Abd Vagus"
"113",0.119200933,"Pelvic vs. Abd Vagus"
"114",0.053257356,"Pelvic vs. Abd Vagus"
"115",0.050334524,"Pelvic vs. Abd Vagus"
"116",0.06254035,"Pelvic vs. Abd Vagus"
"117",0.09125937,"Pelvic vs. Abd Vagus"
"118",0.115668709,"Pelvic vs. Abd Vagus"
"119",0.046545637,"Pelvic vs. Abd Vagus"
"120",0.056454052,"Pelvic vs. Abd Vagus"
"121",0.065311348,"Pelvic vs. Abd Vagus"
"122",0.256046966353262,"Pelvic vs. Cerv Vagus"
"123",0.138765072015547,"Pelvic vs. Cerv Vagus"
"124",0.115011014634444,"Pelvic vs. Cerv Vagus"
"125",0.108336715799664,"Pelvic vs. Cerv Vagus"
"126",0.125343432018416,"Pelvic vs. Cerv Vagus"
"127",0.101823258098618,"Pelvic vs. Cerv Vagus"
"128",0.163601348976413,"Pelvic vs. Cerv Vagus"
"129",0.221581122889103,"Pelvic vs. Cerv Vagus"
"130",0.128564822122965,"Pelvic vs. Cerv Vagus"
"131",0.129078181257846,"Pelvic vs. Cerv Vagus"
"132",0.135700036918929,"Pelvic vs. Cerv Vagus"
"133",0.0634407143116666,"Pelvic vs. Cerv Vagus"
"134",0.108191909664472,"Pelvic vs. Cerv Vagus"
"135",0.15552489351776,"Pelvic vs. Cerv Vagus"
"136",0.109193069848217,"Pelvic vs. Cerv Vagus"
"137",0.062858511505702,"Pelvic vs. Cerv Vagus"
"138",0.0981632961421122,"Pelvic vs. Cerv Vagus"
"139",0.0512220754109515,"Pelvic vs. Cerv Vagus"
"140",0.0465385934215409,"Pelvic vs. Cerv Vagus"
"141",0.0525915832404627,"Pelvic vs. Cerv Vagus"
"142",0.106475274436608,"Pelvic vs. Cerv Vagus"
"143",0.0329192137857364,"Pelvic vs. Cerv Vagus"
"144",0.115806985175339,"Pelvic vs. Cerv Vagus"
"145",0.173318677000673,"Pelvic vs. Cerv Vagus"
"146",0.185412233967845,"Pelvic vs. Cerv Vagus"
"147",0.174882819702989,"Pelvic vs. Cerv Vagus"
"148",0.152384970862242,"Pelvic vs. Cerv Vagus"
"149",0.167806999490134,"Pelvic vs. Cerv Vagus"
"150",0.136367772892721,"Pelvic vs. Cerv Vagus"
"151",0.141912012819766,"Pelvic vs. Cerv Vagus"
"152",0.14477830957741,"Pelvic vs. Cerv Vagus"
"153",0.168139738021111,"Pelvic vs. Cerv Vagus"
"154",0.133315015132631,"Pelvic vs. Cerv Vagus"
"155",0.13793815,"Pelvic vs. Cerv Vagus"
"156",0.186033105,"Pelvic vs. Cerv Vagus"
"157",0.196278862,"Pelvic vs. Cerv Vagus"
"158",0.181358728,"Pelvic vs. Cerv Vagus"
"159",0.165592234,"Pelvic vs. Cerv Vagus"
"160",0.176220242,"Pelvic vs. Cerv Vagus"
"161",0.15233646,"Pelvic vs. Cerv Vagus"
"162",0.158681455,"Pelvic vs. Cerv Vagus"
"163",0.164518798,"Pelvic vs. Cerv Vagus"
"164",0.182761944,"Pelvic vs. Cerv Vagus"
"165",0.153724974,"Pelvic vs. Cerv Vagus"
