"","Sinkhorn_distance","Category"
"128",0.053107901,"Vag vs. Vag"
"129",0.057761427,"Vag vs. Vag"
"130",0.041787451,"Vag vs. Vag"
"131",0.11966307,"Vag vs. Vag"
"132",0.039372472,"Vag vs. Vag"
"133",0.081302103,"Vag vs. Vag"
"134",0.048930262,"Vag vs. Vag"
"135",0.030454907,"Vag vs. Vag"
"136",0.111626326,"Vag vs. Vag"
"137",0.174258548782353,"Vag vs. Vag"
"138",0.0606308830454166,"Vag vs. Vag"
"139",0.156413798378327,"Vag vs. Vag"
"140",0.171737353,"Vag vs. Vag"
"141",0.125789849,"Vag vs. Vag"
"142",0.042135951,"Vag vs. Vag"
"143",0.103833998,"Vag vs. Vag"
"144",0.051258322,"Vag vs. Vag"
"145",0.206784885,"Vag vs. Vag"
"146",0.126368812,"Vag vs. Vag"
"147",0.138156027,"Vag vs. Vag"
"148",0.106509424,"Vag vs. Vag"
"149",0.057165648,"Vag vs. Vag"
"150",0.058465633,"Vag vs. Vag"
"151",0.133938421,"Vag vs. Vag"
"152",0.056685047,"Vag vs. Vag"
"153",0.11530169,"Vag vs. Vag"
"154",0.213569739,"Pelv vs. Pelv"
"155",0.25163655,"Pelv vs. Pelv"
"156",0.128387076,"Pelv vs. Pelv"
"157",0.206807265,"Pelv vs. Pelv"
"158",0.087413024,"Pelv vs. Pelv"
"159",0.118582365,"Pelv vs. Pelv"
"160",0.1598906,"Pelv vs. Pelv"
"161",0.089124907,"Pelv vs. Pelv"
"162",0.116614487,"Pelv vs. Pelv"
"163",0.074329198,"Pelv vs. Pelv"
"164",0.200089521,"Pelv vs. Pelv"
"165",0.070747556,"Pelv vs. Pelv"
"166",0.085029776,"Pelv vs. Pelv"
"167",0.065577466,"Pelv vs. Pelv"
"168",0.057426972,"Pelv vs. Pelv"
"169",0.11806431,"Pelv vs. Pelv"
"170",0.114151283,"Pelv vs. Pelv"
"171",0.148311358,"Pelv vs. Pelv"
"172",0.120844749,"Pelv vs. Pelv"
"173",0.077593234,"Pelv vs. Pelv"
"174",0.110251221,"Pelv vs. Pelv"
"175",0.126901157,"Pelv vs. Pelv"
"176",0.156039346,"Pelv vs. Pelv"
"177",0.222529299,"Pelv vs. Pelv"
"178",0.166571382,"Pelv vs. Pelv"
"179",0.09142168,"Pelv vs. Pelv"
"180",0.162333601,"Pelv vs. Pelv"
"181",0.075559629,"Pelv vs. Pelv"
"182",0.10863349,"Pelv vs. Pelv"
"183",0.09564582,"Pelv vs. Pelv"
"184",0.139577343,"Pelv vs. Pelv"
"185",0.07924547,"Pelv vs. Pelv"
"186",0.052652808,"Pelv vs. Pelv"
"187",0.086531785,"Pelv vs. Pelv"
"188",0.063123495,"Pelv vs. Pelv"
"189",0.057197823,"Pelv vs. Pelv"
"190",0.190338805,"Pelv vs. Pelv"
"191",0.113786411,"Pelv vs. Pelv"
"192",0.123985914,"Pelv vs. Pelv"
"193",0.069102821,"Pelv vs. Pelv"
"194",0.077663428,"Pelv vs. Pelv"
"195",0.106750628,"Pelv vs. Pelv"
"196",0.064036737,"Pelv vs. Pelv"
"197",0.144163612,"Pelv vs. Pelv"
"198",0.093591614,"Pelv vs. Pelv"
"199",0.059692642,"Pelv vs. Pelv"
"200",0.09816341,"Pelv vs. Pelv"
"201",0.132405332,"Pelv vs. Pelv"
"202",0.099490551,"Pelv vs. Pelv"
"203",0.059806562,"Pelv vs. Pelv"
"204",0.095728751,"Pelv vs. Pelv"
"205",0.060308116,"Pelv vs. Pelv"
"206",0.046524247,"Pelv vs. Pelv"
"207",0.054042099,"Pelv vs. Pelv"
"208",0.089096264,"Pelv vs. Pelv"
"209",0.256046966353262,"Vag vs. Pelv"
"210",0.0634407143116666,"Vag vs. Pelv"
"211",0.115806985175339,"Vag vs. Pelv"
"212",0.13793815,"Vag vs. Pelv"
"213",0.075803373,"Vag vs. Pelv"
"214",0.105662963,"Vag vs. Pelv"
"215",0.033066335,"Vag vs. Pelv"
"216",0.127939876,"Vag vs. Pelv"
"217",0.08414229,"Vag vs. Pelv"
"218",0.061009244,"Vag vs. Pelv"
"219",0.225521267,"Vag vs. Pelv"
"220",0.054986944,"Vag vs. Pelv"
"221",0.132673688,"Vag vs. Pelv"
"222",0.096499179,"Vag vs. Pelv"
"223",0.060401891,"Vag vs. Pelv"
"224",0.191145106,"Vag vs. Pelv"
"225",0.037307826,"Vag vs. Pelv"
"226",0.180278007,"Vag vs. Pelv"
"227",0.138765072015547,"Vag vs. Pelv"
"228",0.108191909664472,"Vag vs. Pelv"
"229",0.173318677000673,"Vag vs. Pelv"
"230",0.186033105,"Vag vs. Pelv"
"231",0.142465637,"Vag vs. Pelv"
"232",0.115438796,"Vag vs. Pelv"
"233",0.138349439,"Vag vs. Pelv"
"234",0.095744817,"Vag vs. Pelv"
"235",0.230940906,"Vag vs. Pelv"
"236",0.185283345,"Vag vs. Pelv"
"237",0.091605179,"Vag vs. Pelv"
"238",0.147714344,"Vag vs. Pelv"
"239",0.110757628,"Vag vs. Pelv"
"240",0.12135237,"Vag vs. Pelv"
"241",0.195706608,"Vag vs. Pelv"
"242",0.101559561,"Vag vs. Pelv"
"243",0.164084436,"Vag vs. Pelv"
"244",0.070489115,"Vag vs. Pelv"
"245",0.115011014634444,"Vag vs. Pelv"
"246",0.15552489351776,"Vag vs. Pelv"
"247",0.185412233967845,"Vag vs. Pelv"
"248",0.196278862,"Vag vs. Pelv"
"249",0.158834859,"Vag vs. Pelv"
"250",0.124882778,"Vag vs. Pelv"
"251",0.162882577,"Vag vs. Pelv"
"252",0.135913254,"Vag vs. Pelv"
"253",0.261693056,"Vag vs. Pelv"
"254",0.196462936,"Vag vs. Pelv"
"255",0.082072648,"Vag vs. Pelv"
"256",0.153557977,"Vag vs. Pelv"
"257",0.137362339,"Vag vs. Pelv"
"258",0.154772415,"Vag vs. Pelv"
"259",0.239271855,"Vag vs. Pelv"
"260",0.163576735,"Vag vs. Pelv"
"261",0.182246024,"Vag vs. Pelv"
"262",0.119200933,"Vag vs. Pelv"
"263",0.108336715799664,"Vag vs. Pelv"
"264",0.109193069848217,"Vag vs. Pelv"
"265",0.174882819702989,"Vag vs. Pelv"
"266",0.181358728,"Vag vs. Pelv"
"267",0.145097544,"Vag vs. Pelv"
"268",0.093123157,"Vag vs. Pelv"
"269",0.133098754,"Vag vs. Pelv"
"270",0.085838658,"Vag vs. Pelv"
"271",0.239588171,"Vag vs. Pelv"
"272",0.172602174,"Vag vs. Pelv"
"273",0.075393252,"Vag vs. Pelv"
"274",0.137689532,"Vag vs. Pelv"
"275",0.105043831,"Vag vs. Pelv"
"276",0.102357657,"Vag vs. Pelv"
"277",0.208635231,"Vag vs. Pelv"
"278",0.112199162,"Vag vs. Pelv"
"279",0.14651468,"Vag vs. Pelv"
"280",0.053257356,"Vag vs. Pelv"
"281",0.125343432018416,"Vag vs. Pelv"
"282",0.062858511505702,"Vag vs. Pelv"
"283",0.152384970862242,"Vag vs. Pelv"
"284",0.165592234,"Vag vs. Pelv"
"285",0.116563072,"Vag vs. Pelv"
"286",0.038580603,"Vag vs. Pelv"
"287",0.092606419,"Vag vs. Pelv"
"288",0.046298599,"Vag vs. Pelv"
"289",0.200831395,"Vag vs. Pelv"
"290",0.109988765,"Vag vs. Pelv"
"291",0.061774648,"Vag vs. Pelv"
"292",0.102418614,"Vag vs. Pelv"
"293",0.071881472,"Vag vs. Pelv"
"294",0.054750339,"Vag vs. Pelv"
"295",0.133798281,"Vag vs. Pelv"
"296",0.051319236,"Vag vs. Pelv"
"297",0.108486168,"Vag vs. Pelv"
"298",0.050334524,"Vag vs. Pelv"
"299",0.101823258098618,"Vag vs. Pelv"
"300",0.0981632961421122,"Vag vs. Pelv"
"301",0.167806999490134,"Vag vs. Pelv"
"302",0.176220242,"Vag vs. Pelv"
"303",0.144335614,"Vag vs. Pelv"
"304",0.079473013,"Vag vs. Pelv"
"305",0.124695778,"Vag vs. Pelv"
"306",0.069138836,"Vag vs. Pelv"
"307",0.231652064,"Vag vs. Pelv"
"308",0.144989042,"Vag vs. Pelv"
"309",0.069601376,"Vag vs. Pelv"
"310",0.123297272,"Vag vs. Pelv"
"311",0.088900629,"Vag vs. Pelv"
"312",0.102701204,"Vag vs. Pelv"
"313",0.185655468,"Vag vs. Pelv"
"314",0.112424899,"Vag vs. Pelv"
"315",0.133141961,"Vag vs. Pelv"
"316",0.06254035,"Vag vs. Pelv"
"317",0.163601348976413,"Vag vs. Pelv"
"318",0.0512220754109515,"Vag vs. Pelv"
"319",0.136367772892721,"Vag vs. Pelv"
"320",0.15233646,"Vag vs. Pelv"
"321",0.095159138,"Vag vs. Pelv"
"322",0.079374459,"Vag vs. Pelv"
"323",0.056571266,"Vag vs. Pelv"
"324",0.064380489,"Vag vs. Pelv"
"325",0.172249172,"Vag vs. Pelv"
"326",0.097796707,"Vag vs. Pelv"
"327",0.095288367,"Vag vs. Pelv"
"328",0.083249246,"Vag vs. Pelv"
"329",0.070803647,"Vag vs. Pelv"
"330",0.0458,"Vag vs. Pelv"
"331",0.088102602,"Vag vs. Pelv"
"332",0.088443933,"Vag vs. Pelv"
"333",0.070683191,"Vag vs. Pelv"
"334",0.09125937,"Vag vs. Pelv"
"335",0.221581122889103,"Vag vs. Pelv"
"336",0.0465385934215409,"Vag vs. Pelv"
"337",0.141912012819766,"Vag vs. Pelv"
"338",0.158681455,"Vag vs. Pelv"
"339",0.105457357,"Vag vs. Pelv"
"340",0.060428754,"Vag vs. Pelv"
"341",0.07430647,"Vag vs. Pelv"
"342",0.061166479,"Vag vs. Pelv"
"343",0.163317752,"Vag vs. Pelv"
"344",0.095402936,"Vag vs. Pelv"
"345",0.145034118,"Vag vs. Pelv"
"346",0.090258862,"Vag vs. Pelv"
"347",0.054812942,"Vag vs. Pelv"
"348",0.049227847,"Vag vs. Pelv"
"349",0.089945625,"Vag vs. Pelv"
"350",0.12478618,"Vag vs. Pelv"
"351",0.081544226,"Vag vs. Pelv"
"352",0.115668709,"Vag vs. Pelv"
"353",0.128564822122965,"Vag vs. Pelv"
"354",0.0525915832404627,"Vag vs. Pelv"
"355",0.14477830957741,"Vag vs. Pelv"
"356",0.164518798,"Vag vs. Pelv"
"357",0.116459463,"Vag vs. Pelv"
"358",0.033457579,"Vag vs. Pelv"
"359",0.090750145,"Vag vs. Pelv"
"360",0.036785474,"Vag vs. Pelv"
"361",0.163531303,"Vag vs. Pelv"
"362",0.093504667,"Vag vs. Pelv"
"363",0.069588252,"Vag vs. Pelv"
"364",0.10519524,"Vag vs. Pelv"
"365",0.054709161,"Vag vs. Pelv"
"366",0.063670764,"Vag vs. Pelv"
"367",0.091401954,"Vag vs. Pelv"
"368",0.058532407,"Vag vs. Pelv"
"369",0.1044084,"Vag vs. Pelv"
"370",0.046545637,"Vag vs. Pelv"
"371",0.129078181257846,"Vag vs. Pelv"
"372",0.106475274436608,"Vag vs. Pelv"
"373",0.168139738021111,"Vag vs. Pelv"
"374",0.182761944,"Vag vs. Pelv"
"375",0.142765266,"Vag vs. Pelv"
"376",0.090827405,"Vag vs. Pelv"
"377",0.13268196,"Vag vs. Pelv"
"378",0.08798809,"Vag vs. Pelv"
"379",0.233329802,"Vag vs. Pelv"
"380",0.178110138,"Vag vs. Pelv"
"381",0.078867406,"Vag vs. Pelv"
"382",0.135385694,"Vag vs. Pelv"
"383",0.106886497,"Vag vs. Pelv"
"384",0.113416483,"Vag vs. Pelv"
"385",0.192483608,"Vag vs. Pelv"
"386",0.088408504,"Vag vs. Pelv"
"387",0.152365358,"Vag vs. Pelv"
"388",0.056454052,"Vag vs. Pelv"
"389",0.135700036918929,"Vag vs. Pelv"
"390",0.0329192137857364,"Vag vs. Pelv"
"391",0.133315015132631,"Vag vs. Pelv"
"392",0.153724974,"Vag vs. Pelv"
"393",0.097134969,"Vag vs. Pelv"
"394",0.042889534,"Vag vs. Pelv"
"395",0.056812007,"Vag vs. Pelv"
"396",0.05404262,"Vag vs. Pelv"
"397",0.108024197,"Vag vs. Pelv"
"398",0.071484084,"Vag vs. Pelv"
"399",0.093174224,"Vag vs. Pelv"
"400",0.080505962,"Vag vs. Pelv"
"401",0.05727144,"Vag vs. Pelv"
"402",0.047980235,"Vag vs. Pelv"
"403",0.045906202,"Vag vs. Pelv"
"404",0.065784709,"Vag vs. Pelv"
"405",0.065778248,"Vag vs. Pelv"
"406",0.065311348,"Vag vs. Pelv"
