,area,perim,eccentr,orient,ext,disp,elong,ens_location,sample_id
50,43410.476,688.252,2.07E+12,-78.31,5.816,5.37,0.445,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
51,54217.264,742.569,1.70E+12,19.159,5.893,5.62,0.272,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
52,18355.042,404.485,5.49488E+11,-43.719,5.316,4.652,0.664,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
53,10133.083,326.404,2887510200,-16.616,4.693,4.603,0.09,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
54,9644.99,317.321,13136074652,78.997,4.607,4.397,0.21,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
55,198259.658,1500.365,2.26E+14,-5.674,6.021,5.491,0.53,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
56,34253.579,616.414,2.62E+12,1.004,5.823,5.281,0.542,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
57,28698.944,549.96,6.04563E+11,-73.451,5.453,5.115,0.339,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
58,5847.948,234.323,20573878945,76.058,4.668,4.171,0.497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
59,210196.164,1933.835,1.68E+15,-89.551,6.605,5.511,1.095,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
60,17296.361,457.601,4.40261E+11,-12.492,5.248,4.693,0.556,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
61,126991.224,1176.076,2.73E+13,-53.04,5.495,5.17,0.324,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
62,31341.062,604.456,2.05E+12,-89.241,5.512,5.002,0.51,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
63,6232.923,301.171,1.53833E+11,89.342,5.731,3.757,1.974,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
64,63397.077,821.259,1.24E+12,31.568,5.647,5.464,0.182,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
65,64235.772,817.067,7.63E+12,74.389,5.897,5.465,0.432,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
66,11462.162,377.809,1.19702E+11,0.764,5.815,5.379,0.437,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
