 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
342,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25734.639,3844.815,2424.678,526.124,1.000,1.058,0.945,1.439,0,1,265965,3847.863,1980.150,2735.821,3155.272,-455.502,0.022,0.059,-1.572,-1.446,-57.361,267525819704.322,0.022,1.422E-5,5.070E-7,4.536E-8,2.544E-16,2.403E-11,-6.874E-15,5.376,5.128,0.248,37.489
343,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,78870.353,5056.018,2367.903,938.626,1.000,1.016,0.984,1.427,0,1,567885,5058.861,2035.159,8462.341,8612.334,890.803,-0.005,0.166,-1.436,-1.508,47.406,1.815E12,0.030,9.912E-6,6.030E-7,2.590E-8,2.961E-15,3.686E-11,1.307E-15,5.734,5.582,0.152,24.540
344,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,74155.278,5561.696,2371.688,877.053,1.000,1.081,0.925,1.644,0,1,493935,5557.675,2024.398,7935.876,6220.187,-1226.955,0.051,0.229,-1.344,-1.340,-27.520,4.428E12,0.029,3.675E-5,1.610E-6,2.847E-9,-1.332E-16,-6.795E-13,-1.393E-16,5.798,5.488,0.310,40.971
345,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,75693.350,6728.236,2341.408,894.854,1.000,1.323,0.756,1.697,0,1,571965,6734.723,2062.736,4819.812,10486.051,702.808,-0.136,0.039,-1.237,-1.375,83.034,1.949E13,0.027,1.042E-4,7.426E-7,1.577E-8,-1.605E-15,1.592E-10,5.785E-16,5.888,5.309,0.580,57.376
346,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,28400.479,2133.989,2399.697,551.969,1.000,1.124,0.890,1.486,0,1,282030,2138.456,2007.406,2485.291,3591.664,752.136,-0.045,-0.014,-1.312,-1.460,63.167,983409220445.695,0.022,4.384E-5,9.053E-8,4.376E-9,6.003E-17,-2.535E-11,-6.312E-17,5.496,5.038,0.458,51.327
347,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,48319.782,4644.966,2368.660,691.788,1.000,1.140,0.877,1.757,0,1,366690,4642.479,2034.474,3654.391,4816.748,1081.716,-0.021,0.028,-1.232,-1.223,59.124,2.212E12,0.023,4.486E-5,4.385E-7,3.807E-8,4.908E-15,2.103E-10,-3.232E-16,5.577,5.147,0.431,49.300
348,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,73029.803,3420.136,2347.464,971.897,0.972,1.017,0.983,1.391,0,1,559470,3433.030,2065.549,7323.407,7746.017,-400.579,-0.199,-0.053,-1.411,-1.381,-58.906,459020084260.247,0.027,2.621E-6,7.822E-7,1.205E-7,3.600E-14,9.493E-11,8.572E-15,5.516,5.429,0.087,33.956
349,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,28304.206,5775.927,2407.267,574.724,1.000,1.286,0.778,1.339,0,1,279990,5770.424,1999.399,4404.241,2606.128,170.271,0.283,-0.072,-1.462,-1.533,5.362,937736376360.351,0.025,4.272E-5,6.633E-7,6.916E-7,4.529E-13,2.145E-9,-1.194E-13,5.661,5.275,0.386,35.798
350,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,23485.981,6838.759,2395.912,506.397,1.000,1.160,0.862,1.432,0,1,259845,6840.578,2002.188,2219.708,3064.401,75.574,-0.052,0.102,-1.490,-1.498,84.927,191337379045.305,0.020,1.091E-5,4.520E-7,1.955E-9,4.881E-17,-3.947E-13,3.151E-17,5.243,5.007,0.236,31.382
351,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,510839.573,429.220,2053.747,2445.883,1.000,1.372,0.729,1.930,0,1,2418930,455.518,2361.366,33224.949,70264.662,1175.550,-0.199,-0.065,-1.095,-1.427,88.184,3.332E15,0.043,2.354E-4,9.873E-7,1.382E-7,-2.995E-14,1.859E-9,4.134E-14,6.541,6.000,0.541,67.855
352,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10374.541,6205.905,2417.108,323.640,1.000,1.177,0.849,1.594,0,1,148155,6208.392,1991.191,985.000,1261.442,-376.564,-0.073,-0.076,-1.458,-1.380,-55.078,95355708234.992,0.015,2.932E-5,2.280E-7,7.482E-9,-2.785E-16,-1.243E-11,1.340E-16,5.043,4.504,0.539,53.466
353,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,30944.832,4231.643,2359.576,590.966,1.000,1.157,0.864,1.528,0,1,291975,4239.466,2043.830,2681.554,3331.987,276.327,-0.214,-0.058,-1.332,-1.240,69.823,212700929030.732,0.021,8.545E-6,7.094E-7,8.833E-8,-2.136E-14,2.423E-10,5.712E-15,5.236,5.030,0.206,28.085
354,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9368.261,6108.251,2406.510,305.992,1.000,1.098,0.910,1.594,0,1,131580,6109.522,2001.840,1031.431,821.131,259.514,-0.002,-0.047,-1.317,-1.174,33.972,41265673534.806,0.014,1.811E-5,3.464E-8,4.933E-9,-2.296E-17,1.968E-11,6.026E-17,4.877,4.426,0.450,60.729
355,Cropped_MAX_File_160_10-21-19_COQF_2_1_Mid_Chat-g_CalRChat-r.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50680.758,2019.682,2324.754,745.584,1.000,1.231,0.812,1.418,0,1,365925,2012.052,2082.486,4727.799,6651.717,107.483,0.055,-0.098,-1.524,-1.425,86.812,1.371E12,0.031,2.799E-5,1.461E-6,2.739E-7,1.688E-13,7.904E-10,-3.907E-14,5.865,5.618,0.248,37.514
