 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
1,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,125246.536,205.210,2796.456,1344.550,0.871,1.325,0.755,1.311,0,1,359040,229.411,197.840,12353.305,4803.175,-3680.881,-0.225,-0.053,-0.998,-1.111,-22.138,3.993E13,0.048,8.626E-4,6.711E-5,4.789E-6,-7.477E-11,-1.125E-7,4.222E-11,6.950,5.916,1.033,40.597
2,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,712066.019,871.574,2682.114,4139.479,0.522,2.477,0.404,1.385,0,1,2365125,931.492,293.352,165507.484,24236.102,-2849.854,-0.134,0.014,-1.240,-1.340,-1.155,4.728E16,0.080,0.004,7.366E-6,5.998E-6,3.987E-11,3.494E-7,-8.344E-14,7.809,6.422,1.388,71.665
3,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,358558.261,1887.778,2745.722,2483.484,0.731,2.144,0.466,1.406,0,1,1237260,1904.526,248.491,82912.560,12911.058,-5065.582,-0.245,-0.132,-1.348,-1.247,-4.118,6.190E15,0.077,0.003,1.273E-5,2.030E-5,3.250E-10,1.100E-6,-2.798E-11,7.753,6.387,1.365,64.675
4,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,450829.731,2600.333,2536.726,2953.881,0.649,1.517,0.659,1.316,0,1,1216605,2538.603,476.034,19145.565,59082.278,4037.959,0.582,-0.439,-0.392,-1.094,84.284,2.020E15,0.064,0.001,7.894E-5,1.251E-5,1.601E-10,2.628E-7,-3.592E-10,7.292,6.459,0.833,57.151
5,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,258825.716,2419.355,2663.183,1644.572,1.000,1.043,0.959,1.644,0,1,988380,2403.478,277.509,27002.079,23535.243,-1813.836,0.083,0.041,-1.339,-1.361,-23.149,2.489E13,0.051,2.577E-5,5.889E-6,8.107E-7,1.675E-12,3.365E-9,5.756E-13,6.493,6.349,0.144,21.209
6,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,186515.434,873.845,2597.304,1676.220,0.834,1.776,0.563,1.173,0,1,860115,862.011,360.665,15417.518,37460.040,321.191,0.196,0.019,-1.713,-1.395,89.165,4.183E14,0.061,6.573E-4,7.087E-6,2.234E-7,2.781E-13,2.540E-9,4.066E-14,7.125,6.484,0.641,60.257
7,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,217543.235,1241.860,2641.224,1667.538,0.983,1.026,0.974,1.330,0,1,972060,1251.396,335.928,26487.500,23636.296,-942.268,-0.138,-0.228,-1.524,-1.378,-16.732,1.135E13,0.052,1.236E-5,7.614E-6,5.055E-7,-7.675E-13,4.902E-10,-6.281E-13,6.464,6.365,0.099,34.209
8,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,13578.103,1993.033,2789.641,380.401,1.000,1.081,0.925,1.508,0,1,151980,1995.651,158.566,1486.371,1290.780,364.781,-0.290,0.300,-1.287,-1.326,37.496,86707016408.639,0.018,2.470E-5,5.192E-7,4.457E-7,-1.033E-13,-1.196E-9,-1.879E-13,5.219,4.816,0.403,25.848
9,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,259598.658,2012.721,2453.430,1874.025,0.929,1.649,0.606,1.338,0,1,1104660,2007.953,500.927,17898.469,51700.515,-4077.975,-0.112,0.059,-1.507,-1.443,-83.217,1.336E15,0.063,9.908E-4,5.473E-6,3.986E-7,3.513E-13,-7.230E-10,4.726E-13,7.242,6.450,0.792,63.405
10,MAX_File_93_10-07-2019_KM_139_2_CGRP_GFP_Mid6_GFP-g_CalB-r_CalR-b_...1_Merging001_ProjMax001_AdjustClr001_AdjustClr001_AdjustClr001-watershed-lines.tif,89615.483,85.567,2498.864,1366.791,0.603,3.171,0.315,1.112,0,1,413355,126.328,461.006,1600.495,35447.636,-1219.693,-1.507,-0.052,1.066,-1.441,-87.939,4.760E14,0.090,0.007,6.306E-5,9.797E-6,-2.069E-10,-7.019E-7,1.284E-10,8.104,5.849,2.256,73.563
