 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
145,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,65073.978,1085.870,482.357,868.284,1.000,1.055,0.948,1.400,0,1,473280,1093.792,2458.772,7308.590,7571.340,-1296.821,-0.169,0.063,-1.520,-1.543,-47.892,3.216E12,0.031,3.034E-5,1.699E-7,1.077E-7,1.386E-15,3.242E-10,1.450E-14,5.887,5.632,0.255,24.312
146,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25768.580,1457.671,533.848,538.399,1.000,1.019,0.981,1.444,0,1,285855,1457.048,2414.383,3095.731,2827.521,-740.843,0.025,-0.062,-1.487,-1.540,-39.870,648128132106.981,0.021,2.775E-5,1.442E-7,4.462E-8,3.487E-15,2.183E-10,8.079E-16,5.380,5.005,0.375,40.150
147,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,42105.882,1288.051,507.345,692.202,1.000,1.022,0.978,1.361,0,1,367965,1285.350,2446.763,5302.306,5068.499,-293.143,-0.062,-0.139,-1.532,-1.565,-34.129,146596017758.947,0.028,2.942E-6,9.412E-7,3.461E-7,1.252E-13,-4.929E-10,1.528E-13,5.582,5.494,0.088,24.656
148,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,47229.781,2282.296,470.241,755.074,1.000,1.007,0.993,1.332,0,1,323850,2279.587,2467.436,5525.678,5452.222,139.047,0.149,0.208,-1.363,-1.512,37.602,26792840258.322,0.034,7.888E-7,2.570E-6,1.028E-6,-1.180E-12,7.941E-10,1.183E-12,5.801,5.763,0.038,39.721
149,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,28243.373,867.030,504.316,582.882,1.000,1.394,0.718,1.481,0,1,305490,876.719,2449.111,4220.001,1944.270,-812.306,-0.121,-0.035,-1.390,-1.495,-17.761,2.388E12,0.020,8.378E-5,2.888E-7,1.736E-8,4.672E-16,1.360E-10,1.137E-15,5.554,4.849,0.706,59.177
150,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,19227.237,2113.433,509.617,459.064,1.000,1.217,0.822,1.579,0,1,234855,2116.687,2435.052,2414.765,1526.644,178.814,-0.117,0.075,-1.450,-1.439,10.967,215281351450.836,0.017,1.662E-5,2.179E-7,5.566E-10,-5.653E-18,-1.951E-12,-2.370E-18,5.063,4.705,0.358,46.051
151,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,17351.073,1540.966,477.813,423.236,1.000,1.047,0.955,1.723,0,1,220065,1540.699,2476.015,1658.464,1716.013,-348.638,-0.008,-0.180,-1.375,-1.393,-47.359,107723337986.348,0.015,1.011E-5,5.173E-7,9.444E-9,6.159E-16,2.955E-11,2.375E-16,4.891,4.587,0.304,41.485
152,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,50883.484,689.838,412.691,787.569,1.000,1.055,0.948,1.483,0,1,395250,697.880,2532.878,6005.673,4674.674,-1108.771,-0.203,0.069,-1.366,-1.432,-29.514,2.644E12,0.027,4.282E-5,4.406E-6,7.558E-8,3.652E-14,-4.385E-10,2.385E-14,5.749,5.393,0.356,43.712
153,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,69826.314,2023.323,373.315,967.136,0.938,1.029,0.972,1.234,0,1,506430,2022.161,2585.087,8808.538,8546.486,-297.010,0.042,-0.086,-1.631,-1.563,-33.098,213475292890.925,0.034,1.644E-6,4.454E-7,4.075E-9,9.380E-17,-6.365E-13,-1.461E-16,5.832,5.778,0.054,19.260
154,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,42041.661,470.241,407.391,677.336,1.000,1.085,0.922,1.325,0,1,354195,463.643,2536.841,5213.507,4954.023,315.653,0.123,0.120,-1.492,-1.591,33.828,165012290291.446,0.029,3.714E-6,1.248E-7,1.738E-7,-2.190E-14,3.211E-10,1.324E-14,5.617,5.520,0.097,25.394
155,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,35550.778,1412.994,382.402,610.484,1.000,1.008,0.992,1.594,0,1,338130,1426.199,2557.033,3574.335,3784.970,566.312,-0.260,0.250,-1.424,-1.295,50.268,448767984388.987,0.022,1.161E-5,1.164E-6,3.576E-8,-6.491E-15,-1.046E-10,-3.336E-15,5.334,5.106,0.228,51.554
156,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,17910.711,2841.890,358.171,505.474,0.881,2.404,0.416,1.793,0,1,156825,2840.674,2581.407,469.554,3849.330,656.784,-0.171,0.180,-1.048,-1.223,79.381,2.062E12,0.028,5.346E-4,8.125E-6,1.340E-6,1.287E-12,5.455E-9,4.230E-12,6.343,4.583,1.760,67.384
157,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,45619.675,921.551,354.384,747.914,1.000,1.177,0.850,1.273,0,1,341700,917.027,2600.899,6867.932,4745.109,395.588,-0.008,-0.238,-1.552,-1.496,10.220,1.754E12,0.034,4.396E-5,1.566E-6,3.599E-7,1.185E-13,9.426E-10,2.428E-13,6.024,5.739,0.285,33.490
158,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,35183.802,2229.290,354.384,642.421,1.000,1.102,0.908,1.430,0,1,331500,2218.558,2602.055,4568.967,3425.286,272.196,0.190,-0.110,-1.444,-1.502,12.727,531848511636.759,0.024,1.460E-5,1.338E-6,3.643E-9,2.537E-16,1.363E-11,1.769E-17,5.484,5.254,0.231,39.363
159,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,26339.686,1590.186,374.830,551.034,1.000,1.517,0.659,1.644,0,1,258060,1584.353,2565.456,4005.164,1689.072,-808.021,0.111,0.146,-1.347,-1.392,-17.453,2.058E12,0.022,1.198E-4,1.220E-6,3.971E-9,-1.123E-16,1.750E-11,2.525E-16,5.725,4.940,0.785,61.159
160,MAX_File_146_02-14-20_DYM_8_6_Mid_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,57248.220,1830.986,278.661,899.702,0.889,1.733,0.577,1.302,0,1,454155,1830.695,2667.660,4093.904,10745.087,391.079,4.336E-4,0.071,-1.650,-1.420,86.647,2.037E13,0.033,2.174E-4,1.202E-6,6.150E-8,-1.671E-14,-7.159E-10,-7.464E-16,6.247,5.546,0.702,57.043
