Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,223.272,495.905,309.372,0,685.472,239.612,0,201.995,210.182,255,255
1,221.711,81.893,212.314,0,268.426,288.141,0,201.356,206.524,255,255
1,221.279,348.802,639.976,0,547.467,630.877,0,198.874,205.117,255,255
1,217.960,89.475,473.157,0,256.294,385.199,0,188.587,208.792,255,255
1,202.040,556.567,124.355,0,730.968,112.223,0,174.822,189.699,255,255
1,197.688,159.236,661.207,0,341.219,653.625,0,182.142,184.780,255,255
1,195.714,547.467,630.877,0,611.162,464.058,0,178.565,182.123,255,255
1,193.982,774.947,414.013,0,611.162,464.058,0,171.261,185.401,255,255
1,192.897,189.566,606.612,0,274.492,448.893,0,179.130,181.981,255,255
1,184.991,285.108,451.926,0,444.343,489.839,0,163.687,176.064,255,255
1,184.013,50.045,512.587,0,189.566,606.612,0,168.246,172.038,255,255
1,179.660,72.793,0.000,0,1.517,150.136,0,166.197,166.638,255,255
1,172.553,588.414,363.967,0,685.472,239.612,0,157.748,162.443,255,255
1,160.143,495.905,309.372,0,532.302,166.818,0,147.127,146.386,255,255
1,159.559,0.000,673.339,0,150.136,668.790,0,150.205,153.571,255,255
1,159.254,194.116,100.091,0,335.153,144.070,0,147.735,150.674,255,255
1,154.247,71.277,175.918,0,194.116,100.091,0,144.357,145.609,255,255
1,146.341,571.732,661.207,0,595.996,771.914,0,113.335,136.615,255,255
1,144.134,465.575,473.157,0,482.257,339.703,0,134.493,135.419,255,255
1,140.167,374.583,318.471,0,495.905,309.372,0,121.663,129.619,255,255
1,137.413,285.108,451.926,0,376.099,548.984,0,133.040,132.733,255,255
1,136.246,774.947,523.203,0,734.001,639.976,0,123.744,133.214,255,255
1,134.837,679.406,0.000,0,730.968,112.223,0,123.502,128.301,255,255
1,133.886,313.922,774.947,0,341.219,653.625,0,124.355,126.458,255,255
1,132.585,774.947,395.814,0,738.550,282.075,0,119.421,124.165,255,255
1,130.135,0.000,295.723,0,81.893,212.314,0,116.891,123.611,255,255
1,127.299,298.756,256.294,0,335.153,144.070,0,117.978,115.425,255,255
1,126.258,268.426,386.715,0,374.583,338.186,0,116.724,117.474,255,255
1,122.014,465.575,473.157,0,576.281,448.893,0,113.335,112.061,255,255
1,118.568,400.364,0.000,0,359.418,101.608,0,109.548,111.956,255,255
1,118.416,256.294,385.199,0,268.426,288.141,0,97.813,110.081,255,255
1,114.583,374.583,338.186,0,482.257,339.703,0,107.684,107.953,255,255
1,110.833,498.938,312.405,0,588.414,363.967,0,103.269,105.445,255,255
1,107.737,720.352,221.413,0,744.616,125.872,0,98.574,97.355,255,255
1,105.503,595.996,771.914,0,656.658,691.538,0,100.698,99.150,255,255
1,102.730,453.443,109.190,0,532.302,166.818,0,97.672,97.580,255,255
1,102.299,348.802,639.976,0,376.099,548.984,0,94.998,94.955,255,255
1,101.975,195.632,0.000,0,194.116,100.091,0,100.102,100.481,255,255
1,101.581,298.756,256.294,0,374.583,318.471,0,98.060,95.771,255,255
1,101.410,0.000,447.376,0,89.475,473.157,0,93.115,98.046,255,255
1,100.935,359.418,101.608,0,453.443,109.190,0,94.330,95.180,255,255
