 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
225,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,9603.297,930.638,482.357,314.652,1.000,1.491,0.671,1.542,0,1,142800,932.141,2467.096,1598.949,677.372,117.240,-0.059,0.089,-1.561,-1.429,7.138,129131975167.028,0.016,4.435E-5,1.956E-7,1.580E-8,-5.868E-17,-2.055E-11,-8.762E-16,5.178,4.536,0.642,48.288
226,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,1316358.135,1648.493,256.701,6457.768,0.397,4.994,0.200,1.541,0,1,5094135,1608.311,2647.257,744107.615,17792.209,6160.627,0.072,0.309,-1.538,-0.949,0.486,2.688E18,0.150,0.020,4.200E-5,1.665E-5,4.023E-10,1.739E-6,-1.793E-10,8.871,6.175,2.695,81.474
227,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,32202.124,851.886,434.651,591.791,1.000,1.298,0.770,1.559,0,1,307785,853.623,2525.286,3726.757,2480.092,83.621,0.042,-0.057,-1.186,-1.296,3.820,486960410789.808,0.020,1.670E-5,8.351E-7,9.498E-8,2.657E-14,8.724E-11,-3.097E-15,5.280,4.984,0.296,44.657
228,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,77642.898,2716.947,318.037,890.195,1.000,1.022,0.978,1.747,0,1,503370,2718.796,2626.459,7458.886,7849.725,-3186.662,-0.049,0.180,-1.327,-1.212,-46.755,2.052E13,0.030,1.609E-4,1.274E-6,5.360E-7,4.096E-13,6.787E-9,-1.685E-13,6.110,5.469,0.641,61.222
229,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,36637.943,1138.119,346.812,650.228,1.000,1.663,0.601,1.486,0,1,341190,1142.332,2609.331,6112.958,2431.125,-323.808,0.014,-0.013,-1.334,-1.598,-4.988,4.768E12,0.025,1.201E-4,1.655E-7,2.483E-8,1.588E-15,-1.814E-11,-1.148E-16,5.850,5.173,0.677,57.892
230,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,19589.625,2875.208,326.367,492.839,1.000,1.603,0.624,1.456,0,1,162180,2866.198,2618.135,991.478,3486.301,314.763,0.285,0.093,-1.183,-1.430,82.919,1.074E12,0.028,2.517E-4,9.918E-6,1.482E-6,-5.585E-12,-2.045E-8,1.039E-12,6.122,5.178,0.944,53.974
231,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,37871.899,262.002,318.037,696.701,0.980,1.792,0.558,1.350,0,1,370260,263.446,2637.396,7699.120,2472.008,-444.181,-0.041,0.035,-1.474,-1.655,-4.823,1.041E13,0.027,2.051E-4,2.112E-7,3.015E-9,-6.669E-17,-2.738E-11,-3.666E-17,6.065,5.231,0.834,59.975
232,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,111060.629,2336.059,230.198,1370.146,0.743,2.401,0.416,1.291,0,1,753780,2343.969,2718.899,28809.654,5051.949,2379.609,-0.026,0.033,-1.365,-1.398,5.664,4.425E14,0.045,0.001,1.596E-6,1.218E-7,-3.767E-14,-3.776E-9,-3.826E-14,6.948,5.652,1.296,70.329
233,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,56128.944,2815.387,211.268,757.684,1.000,1.059,0.944,1.570,0,1,400350,2805.792,2751.997,4357.661,6378.664,-434.488,0.238,-0.136,-1.237,-1.446,-78.367,1.938E12,0.027,3.019E-5,3.541E-7,2.212E-7,-6.191E-14,-4.408E-10,4.977E-17,5.694,5.394,0.300,21.717
234,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,135803.970,315.008,156.747,1383.302,0.892,1.623,0.616,1.440,0,1,856035,305.837,2795.373,21299.010,8406.802,-1768.595,0.021,-0.028,-1.254,-1.542,-7.671,1.530E14,0.035,2.439E-4,7.548E-7,4.841E-8,8.969E-15,-2.448E-10,2.277E-15,6.333,5.634,0.699,66.045
235,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,30174.583,621.687,174.163,628.836,0.959,1.554,0.643,1.350,0,1,314670,612.814,2782.463,4869.160,2615.202,244.426,0.237,-0.048,-1.415,-1.633,6.119,1.674E12,0.024,5.372E-5,6.621E-7,1.450E-7,4.438E-14,1.034E-9,-7.055E-15,5.640,5.180,0.460,54.250
236,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,21367.164,2681.357,137.816,546.624,0.899,2.015,0.496,1.325,0,1,237915,2686.813,2813.485,4734.719,1318.837,523.173,-0.213,0.168,-1.323,-1.532,8.515,3.037E12,0.025,2.255E-4,6.879E-7,6.351E-7,4.163E-13,3.258E-9,5.412E-14,6.018,5.040,0.978,64.232
237,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,27890.158,498.258,57.550,639.419,0.857,2.105,0.475,1.444,0,1,279735,507.327,2878.360,7021.243,1160.836,229.399,-0.225,0.455,-1.563,-1.261,2.238,9.666E12,0.029,4.416E-4,4.397E-6,9.671E-7,2.571E-13,-2.888E-10,1.978E-12,6.332,5.027,1.305,56.664
238,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,7321.167,602.756,68.908,287.265,1.000,1.018,0.982,1.609,0,1,126990,601.832,2879.657,770.976,749.127,-117.445,-0.054,0.034,-1.543,-1.341,-42.343,7067107777.020,0.012,3.451E-6,1.663E-7,1.544E-8,-2.353E-16,-2.194E-11,-7.461E-16,4.470,4.244,0.226,31.959
239,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,14532.240,242.314,54.521,419.866,1.000,1.222,0.818,1.294,0,1,115005,235.600,2884.795,2201.814,1149.097,-700.630,0.328,0.526,-1.348,-1.028,-26.542,353266015699.342,0.029,2.322E-4,1.912E-6,2.578E-6,3.322E-12,-3.235E-8,-4.660E-12,6.152,5.314,0.837,45.435
240,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,15412.982,672.422,53.006,421.184,1.000,1.371,0.729,1.422,0,1,163200,668.030,2887.807,2408.270,1031.908,-238.969,0.223,0.267,-1.589,-1.208,-9.575,346440610170.979,0.021,7.970E-5,3.348E-6,5.707E-7,-6.988E-13,-4.839E-9,-3.659E-13,5.587,4.935,0.652,29.672
241,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,10293.670,360.442,51.492,367.576,0.957,1.030,0.971,1.204,0,1,104295,367.894,2891.301,1438.012,976.780,188.015,-0.552,0.147,-1.444,-1.260,19.595,36934353242.068,0.023,3.256E-5,1.895E-6,9.321E-7,1.165E-12,5.150E-9,4.223E-13,5.531,5.168,0.363,40.062
242,MAX_File_96_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_2_Pr_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,2229.378,140.845,13.630,194.130,0.743,3.000,0.333,1.439,0,1,50490,134.986,2933.890,745.421,36.667,-76.574,0.440,0.336,-1.159,-0.801,-6.097,26546922137.964,0.015,2.063E-4,8.259E-7,6.271E-7,4.497E-13,7.611E-9,-3.824E-14,5.580,3.217,2.363,70.604
