 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
15,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,55141.048,597.546,1166.313,805.318,1.000,1.615,0.619,1.470,0,1,457980,602.838,309.962,9605.771,3478.075,61.544,-0.128,0.007,-1.390,-1.490,0.575,1.720E13,0.029,1.791E-4,6.504E-7,7.214E-8,1.401E-14,8.640E-10,-6.925E-15,6.071,5.338,0.733,60.818
16,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,84602.070,926.234,1139.806,1085.859,0.902,2.360,0.424,1.463,0,1,593130,931.258,325.565,21920.152,3617.253,1587.141,-0.115,0.056,-1.430,-1.476,4.919,2.047E14,0.043,9.809E-4,2.441E-7,1.290E-6,2.679E-13,3.499E-8,-6.722E-13,6.897,5.565,1.332,66.882
17,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,88334.885,1672.978,1111.784,1114.379,0.894,2.022,0.495,1.346,0,1,667335,1682.247,355.189,18363.075,5997.093,-744.689,-0.152,0.086,-1.330,-1.645,-3.434,1.035E14,0.037,3.484E-4,1.351E-6,5.051E-7,4.171E-13,7.217E-9,8.855E-15,6.466,5.651,0.814,64.216
18,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,67183.794,194.638,1106.483,931.817,0.972,1.760,0.568,1.750,0,1,544170,196.206,363.559,13780.453,3493.167,-1431.547,0.015,-0.145,-1.499,-1.308,-7.776,6.205E13,0.032,3.851E-4,1.136E-6,7.032E-8,-1.395E-14,-1.330E-9,-1.416E-14,6.363,5.321,1.042,70.565
19,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,96277.729,1317.025,1045.138,1214.348,0.820,1.724,0.580,1.169,0,1,663765,1313.871,421.649,19633.373,8026.827,691.736,-0.064,0.030,-1.513,-1.744,3.399,9.069E13,0.042,3.101E-4,3.352E-7,1.728E-7,3.382E-14,9.044E-10,2.419E-14,6.570,5.919,0.650,56.867
20,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,22727.271,421.842,1095.123,510.113,1.000,1.628,0.614,1.446,0,1,249135,423.781,375.421,3699.522,1698.188,346.509,-0.114,-0.047,-1.350,-1.579,9.550,1.118E12,0.022,7.227E-5,2.949E-7,1.071E-7,1.819E-14,2.869E-10,-5.627E-15,5.595,4.997,0.598,52.184
21,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,44931.442,1850.954,1076.946,753.997,0.993,1.882,0.531,1.545,0,1,358020,1850.111,400.330,8190.882,2303.001,-1038.240,0.047,-0.224,-1.265,-1.465,-9.713,1.396E13,0.029,3.041E-4,9.812E-7,8.133E-8,2.114E-14,-1.398E-10,-8.987E-15,6.227,5.238,0.989,68.080
22,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,6898.940,24.992,1056.498,351.383,0.702,3.129,0.320,1.342,0,1,93330,35.972,417.124,54.464,2037.064,170.420,-0.430,-0.102,-0.566,-1.394,85.123,377694995254.431,0.022,4.646E-4,1.064E-6,2.541E-7,8.291E-14,1.272E-9,1.028E-13,6.138,3.297,2.842,73.587
23,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,54140.736,997.425,1011.815,822.114,1.000,1.239,0.807,1.418,0,1,423300,1007.787,456.665,7785.790,4886.358,-1045.133,-0.088,0.064,-1.484,-1.585,-17.894,5.408E12,0.030,7.130E-5,3.791E-7,1.708E-8,1.330E-15,9.194E-11,3.499E-16,5.942,5.524,0.418,47.485
24,MAX_File_85_01-31-2019_CYM_1_4_Calb2_3B_YFP_DS_GFP-g_Hu-b.lif - TileScan_001_Merging001_ProjMax001_AdjustClr001-watershed-lines.tif,16188.534,2082.702,1067.101,506.768,0.792,1.778,0.563,1.269,0,1,198390,2071.112,404.450,2571.160,1216.006,79.327,0.099,-0.062,-1.248,-1.841,3.339,369325744691.111,0.019,4.730E-5,3.116E-7,1.302E-7,-1.558E-14,8.834E-10,2.111E-14,5.379,4.834,0.544,65.078
