 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
83,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,77088.259,878.522,183.278,908.076,1.000,1.190,0.840,1.489,0,1,509235,898.205,1339.865,9629.294,7682.992,-172.189,-0.126,0.105,-1.386,-1.479,-5.017,1.989E12,0.034,1.507E-5,4.772E-6,2.029E-7,1.852E-13,-2.798E-10,7.438E-14,5.923,5.758,0.165,31.713
84,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,20896.424,1903.968,235.535,486.918,1.000,1.076,0.929,1.499,0,1,250665,1910.584,1298.058,2516.615,2377.633,-794.063,-0.051,-0.125,-1.591,-1.356,-42.499,637055487858.906,0.020,4.045E-5,7.509E-7,2.142E-8,5.837E-16,-7.559E-11,2.654E-15,5.374,4.886,0.488,42.707
85,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,113338.095,273.402,151.469,1194.030,0.999,1.235,0.810,1.330,0,1,567375,270.161,1386.302,18191.406,9077.107,2086.236,-0.018,-0.179,-1.586,-1.389,12.299,5.701E13,0.048,3.121E-4,5.996E-6,5.972E-7,-7.871E-13,9.217E-9,-8.109E-13,6.719,6.162,0.556,47.531
86,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,94846.090,1214.783,181.006,1142.252,0.913,1.635,0.612,1.194,0,1,649485,1208.982,1350.209,19605.242,8179.439,-700.155,0.037,-0.119,-1.544,-1.646,-3.494,8.606E13,0.043,3.141E-4,4.581E-9,1.303E-7,3.030E-15,4.440E-10,9.718E-16,6.599,5.963,0.636,55.169
87,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,5072.683,2130.415,203.726,257.687,0.960,2.030,0.493,1.613,0,1,77520,2126.404,1326.158,190.029,1109.674,-185.899,0.302,-0.031,-1.089,-1.383,-78.994,76278206268.274,0.017,1.637E-4,1.237E-6,1.708E-7,-7.738E-14,-2.015E-9,1.305E-14,5.566,4.117,1.448,63.965
88,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,53209.253,1560.891,157.528,901.208,0.823,2.144,0.466,1.247,0,1,434265,1554.799,1366.609,12458.383,3377.418,-619.468,0.023,-0.090,-1.368,-1.757,-3.885,3.648E13,0.036,4.454E-4,2.774E-8,4.591E-8,-1.258E-15,8.464E-10,-1.050E-15,6.527,5.574,0.953,66.818
89,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,32177.465,589.973,168.888,627.802,1.000,1.941,0.515,1.408,0,1,312630,593.221,1351.924,6545.334,2102.226,244.726,-0.113,0.055,-1.390,-1.588,3.143,6.247E12,0.028,2.044E-4,7.334E-7,1.328E-7,3.034E-14,9.237E-10,-2.822E-14,6.071,5.246,0.825,60.757
90,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25065.156,1763.859,143.138,571.525,0.964,1.211,0.826,1.341,0,1,269280,1772.207,1378.657,3154.636,2556.252,-282.107,-0.198,0.091,-1.477,-1.426,-21.658,182141544796.776,0.021,9.328E-6,1.091E-6,2.296E-7,-6.978E-14,4.038E-11,9.134E-14,5.281,5.071,0.209,52.583
91,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,268106.541,1411.693,90.124,3621.350,0.257,8.252,0.121,1.076,0,1,1534845,1459.701,1420.090,219030.663,1575.125,-5261.458,-0.192,-0.263,-1.348,-1.046,-1.385,7.275E16,0.144,0.020,1.089E-4,1.081E-4,1.172E-8,1.516E-5,-3.959E-11,8.838,5.217,3.621,85.609
92,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,48969.399,581.642,87.852,799.679,0.962,1.586,0.630,1.490,0,1,326400,580.674,1422.258,10100.740,2271.593,503.154,-0.085,0.479,-1.641,-0.896,3.662,2.034E13,0.038,5.849E-4,1.514E-6,9.764E-7,4.369E-13,-8.739E-9,1.104E-12,6.636,5.547,1.089,61.620
93,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,11012.608,1871.403,125.719,347.440,1.000,1.172,0.853,1.454,0,1,144330,1873.102,1396.346,1203.128,1144.883,-167.651,-0.195,0.175,-1.221,-1.602,-40.073,16716302337.333,0.016,5.560E-6,2.707E-7,1.431E-7,-2.398E-14,2.322E-10,-1.480E-14,4.899,4.689,0.211,47.122
94,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,14887.670,2047.107,117.389,467.754,0.855,1.635,0.612,1.088,0,1,164220,2035.488,1407.432,3150.800,1614.223,11.031,0.462,0.017,-1.266,-1.825,0.411,387814444341.449,0.029,8.757E-5,1.897E-6,1.451E-6,2.398E-12,1.320E-8,-2.187E-13,5.942,5.460,0.482,54.035
95,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,6768.166,1055.741,100.727,267.206,1.000,1.180,0.847,1.459,0,1,113220,1054.734,1422.088,702.493,810.106,104.284,0.024,0.284,-1.631,-1.287,58.646,6236310632.313,0.013,4.297E-6,1.039E-7,1.114E-7,-1.148E-14,9.600E-11,3.438E-15,4.628,4.402,0.226,34.775
96,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,6453.847,388.519,21.963,348.873,0.666,3.345,0.299,1.203,0,1,83640,381.005,1492.078,2313.099,85.563,-148.915,0.343,1.184,-1.192,0.405,-3.808,422433724156.614,0.029,7.220E-4,5.143E-6,2.513E-6,8.544E-12,4.764E-8,-2.937E-12,6.476,4.005,2.470,73.384
97,MAX_File_152_02-17-20_A_DYM_8_6_Distal_Chat-g_CalB-r_CalR-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,2867.867,154.499,18.934,195.262,0.945,2.000,0.500,1.397,0,1,48705,155.470,1500.549,671.029,74.258,57.028,-0.213,0.300,-1.517,-0.944,5.410,17979194227.243,0.015,1.556E-4,9.002E-7,1.905E-7,2.675E-14,-3.821E-10,7.418E-14,5.476,3.828,1.648,57.860
