 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
413,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,38803.092,573.561,632.587,625.454,1.000,1.253,0.798,1.713,0,1,453900,576.036,2658.069,4311.902,2772.333,-6.231,0.021,0.224,-1.219,-1.316,-0.232,1.076E12,0.016,1.151E-5,3.554E-7,9.364E-9,5.119E-16,1.663E-11,-1.727E-16,4.928,4.609,0.319,41.830
414,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,49524.673,1515.759,630.917,728.502,1.000,1.540,0.649,1.665,0,1,530145,1512.234,2674.006,7171.181,3628.012,-1926.518,0.113,-0.152,-1.335,-1.396,-23.700,1.453E13,0.020,9.749E-5,1.495E-7,1.829E-8,-2.476E-16,1.795E-10,9.235E-16,5.599,4.835,0.763,59.096
415,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,26408.280,79.630,632.030,562.538,1.000,1.071,0.934,1.513,0,1,294270,89.486,2673.213,1714.922,3151.656,1176.858,-0.256,-0.113,-0.856,-1.546,60.700,2.238E12,0.017,8.781E-5,5.841E-7,1.881E-7,-3.301E-14,2.930E-10,5.290E-14,5.375,4.448,0.927,31.930
416,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,45574.160,3389.576,601.960,688.791,1.000,1.122,0.892,1.748,0,1,519945,3403.083,2687.831,3970.670,4274.985,1249.434,-0.201,0.275,-1.283,-1.111,48.472,3.295E12,0.016,2.344E-5,5.777E-7,3.052E-8,3.934E-15,9.708E-11,-9.738E-16,5.052,4.597,0.455,54.804
417,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,37552.820,3571.667,618.109,681.019,1.000,1.000,1.000,1.394,0,1,486030,3571.493,2691.797,4300.679,3910.004,137.975,-0.033,-0.248,-1.557,-1.417,17.618,111191862559.320,0.017,9.685E-7,1.907E-7,9.239E-9,3.558E-16,-6.667E-12,1.544E-16,4.840,4.756,0.084,34.727
418,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,56134.495,4250.473,618.666,824.570,1.000,1.623,0.616,1.456,0,1,650505,4250.408,2678.933,9603.462,4247.195,-810.597,0.130,0.003,-1.423,-1.565,-8.420,2.037E13,0.021,7.401E-5,1.669E-7,7.533E-8,8.183E-15,5.351E-10,2.088E-15,5.582,4.964,0.618,53.250
419,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,46650.783,2056.465,605.301,754.189,1.000,1.053,0.950,1.399,0,1,582420,2057.464,2692.407,5410.383,5791.531,747.623,-0.220,0.011,-1.463,-1.560,52.150,1.387E12,0.019,7.019E-6,1.341E-7,2.295E-8,1.240E-15,8.990E-12,-2.865E-16,5.132,4.932,0.200,48.087
420,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,42364.135,2602.183,633.144,801.123,0.829,2.583,0.387,1.390,0,1,566355,2609.307,2663.412,11823.134,2065.720,681.942,0.012,0.218,-1.452,-1.545,3.979,5.497E13,0.025,3.026E-4,1.382E-7,1.007E-8,3.708E-16,5.033E-11,-6.061E-17,6.070,4.792,1.278,69.075
421,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,38884.955,2213.498,612.540,674.272,1.000,1.393,0.718,1.405,0,1,418710,2228.065,2698.817,6225.760,2737.454,189.225,-0.295,-0.324,-1.452,-1.309,3.096,5.155E12,0.021,7.022E-5,4.234E-7,4.767E-7,1.230E-13,1.829E-9,-1.753E-13,5.577,4.980,0.597,44.452
422,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,171738.784,1758.548,522.887,1458.162,1.000,1.528,0.654,1.406,0,1,1173000,1758.149,2779.428,27598.400,13043.917,-1964.457,0.003,-0.129,-1.421,-1.551,-7.553,2.666E14,0.035,1.652E-4,2.552E-7,1.338E-9,1.891E-17,-1.638E-11,1.592E-17,6.250,5.688,0.562,52.682
423,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,59609.954,431.563,550.729,839.174,1.000,1.374,0.728,1.402,0,1,674985,431.671,2765.240,8906.995,5254.134,-95.031,0.046,-0.268,-1.376,-1.553,-1.489,9.031E12,0.021,2.937E-5,1.309E-6,2.713E-8,1.184E-15,-5.987E-11,-4.975E-15,5.402,5.021,0.381,50.355
424,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,70538.673,3316.071,517.875,857.384,1.000,1.030,0.971,1.727,0,1,690285,3317.794,2786.622,6539.147,7051.753,2559.538,-0.007,-0.052,-1.347,-1.426,47.859,1.827E13,0.020,5.555E-5,5.677E-8,1.458E-8,3.183E-16,1.075E-10,2.732E-16,5.443,4.868,0.575,50.107
425,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,100855.294,2455.730,473.327,1095.243,1.000,1.167,0.857,1.380,0,1,898365,2452.929,2824.570,10557.641,13389.928,1196.085,0.132,-0.030,-1.595,-1.527,69.908,1.235E13,0.027,1.703E-5,9.900E-7,3.929E-8,6.945E-15,1.571E-10,-3.435E-15,5.624,5.399,0.225,41.985
426,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,38839.062,4383.005,518.432,642.146,1.000,1.046,0.956,1.598,0,1,510765,4385.141,2790.027,4084.830,3500.039,-330.839,-0.012,-0.238,-1.440,-1.240,-24.265,398293791264.328,0.015,2.989E-6,2.890E-7,2.930E-8,-9.982E-16,4.855E-11,-2.506E-15,4.731,4.563,0.169,18.381
427,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,38572.387,1273.527,529.012,665.250,1.000,1.459,0.685,1.449,0,1,510255,1278.181,2775.122,6232.471,3021.031,-777.627,-0.160,-0.006,-1.418,-1.640,-12.920,6.497E12,0.018,4.890E-5,4.259E-8,4.925E-8,2.250E-15,3.247E-10,-1.616E-16,5.331,4.745,0.587,56.548
428,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,96801.832,3170.732,402.049,1170.751,0.887,1.642,0.609,1.346,0,1,855270,3164.332,2905.485,6795.260,17462.726,2004.528,0.150,-0.025,-1.587,-1.330,79.701,1.111E14,0.028,1.775E-4,6.643E-7,3.084E-8,2.992E-15,1.134E-10,3.247E-15,6.062,5.326,0.735,61.777
429,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,47893.613,4082.303,479.452,722.650,1.000,1.153,0.867,1.498,0,1,541875,4073.395,2812.508,4352.920,5593.079,-617.040,0.097,0.075,-1.361,-1.477,-67.570,1.659E12,0.018,1.042E-5,2.721E-7,1.169E-9,1.143E-17,-7.329E-13,-1.742E-17,5.112,4.855,0.256,27.560
430,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,42328.165,2706.315,503.954,723.321,1.000,1.497,0.668,1.771,0,1,595425,2702.773,2787.623,7306.271,2336.704,1157.311,-0.054,0.096,-1.515,-1.177,12.487,1.789E13,0.016,8.477E-5,5.293E-7,5.977E-8,-7.760E-15,-4.541E-10,-7.267E-15,5.347,4.416,0.931,65.330
431,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,51221.471,100.234,441.029,779.771,1.000,1.303,0.767,1.512,0,1,448545,122.183,2839.404,3782.634,6752.202,-1255.342,-0.347,0.117,-1.329,-1.371,-69.893,6.783E12,0.023,7.516E-5,4.197E-6,1.175E-6,-1.692E-12,-3.068E-9,-1.985E-12,5.687,5.128,0.559,51.317
432,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,63877.996,2235.216,453.280,850.582,1.000,1.214,0.824,1.702,0,1,782595,2235.462,2851.734,7577.153,5629.683,960.841,0.141,-0.116,-1.366,-1.541,22.309,5.858E12,0.017,1.222E-5,4.995E-8,5.685E-8,-2.985E-15,8.081E-11,5.189E-16,5.029,4.725,0.303,47.161
433,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,52020.256,3523.221,466.644,822.343,0.967,1.294,0.773,1.606,0,1,693600,3522.044,2830.860,6644.796,3960.707,-116.010,0.026,0.128,-1.356,-1.322,-2.470,5.034E12,0.015,1.509E-5,5.066E-8,3.602E-9,-2.599E-17,1.367E-11,-4.112E-17,4.941,4.567,0.375,46.612
434,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,27807.394,967.257,481.679,536.600,1.000,1.128,0.887,1.700,0,1,388875,973.659,2825.606,2842.586,2407.828,127.605,-0.105,-0.103,-1.350,-1.304,15.207,98831343017.586,0.014,1.681E-6,3.175E-7,6.070E-9,2.475E-16,5.112E-12,9.874E-17,4.567,4.428,0.139,21.569
435,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,16934.491,234.436,481.679,470.113,0.963,1.108,0.902,1.381,0,1,363120,230.561,2813.789,1690.733,1928.202,-86.024,0.250,0.224,-1.429,-1.379,-72.038,31225333656.211,0.010,6.522E-7,1.329E-7,5.709E-9,9.873E-17,4.246E-12,1.223E-16,4.110,3.992,0.117,30.664
436,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,31574.335,1436.686,465.531,590.012,1.000,1.162,0.860,1.352,0,1,394740,1441.238,2834.943,4312.932,3270.913,346.343,0.006,-0.041,-1.602,-1.497,16.807,618011449142.205,0.019,1.005E-5,5.385E-8,9.634E-9,8.630E-18,-9.557E-13,-2.193E-16,5.164,4.924,0.240,26.062
437,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,5775.067,4233.768,508.965,287.252,0.880,2.021,0.495,1.296,0,1,177735,4235.463,2790.686,1369.527,349.926,-43.970,-0.059,-0.117,-1.469,-1.607,-2.465,186145301851.890,0.010,3.315E-5,4.427E-9,1.076E-9,1.149E-18,4.889E-12,-2.047E-18,4.628,3.639,0.989,63.643
438,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,13857.184,3918.031,477.781,383.757,1.000,1.163,0.860,1.786,0,1,263925,3921.067,2826.078,1635.463,1136.220,-573.878,0.001,-0.235,-1.338,-1.321,-33.246,413462015281.423,0.011,2.249E-5,5.443E-8,1.950E-9,-1.841E-17,9.103E-12,-8.048E-18,4.610,3.908,0.702,64.239
439,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,34155.503,2690.166,437.131,654.178,1.000,1.467,0.682,1.346,0,1,482205,2683.521,2866.466,5994.957,2839.940,430.954,-0.004,-0.132,-1.500,-1.598,7.640,5.158E12,0.018,4.600E-5,3.024E-7,2.246E-8,5.351E-17,1.011E-10,-1.850E-15,5.330,4.769,0.561,50.532
440,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,29961.881,2100.457,437.688,590.915,1.000,1.623,0.616,1.655,0,1,419985,2096.061,2868.109,4341.982,2114.122,1456.449,0.076,-0.196,-1.265,-1.384,26.295,5.648E12,0.015,7.624E-5,7.751E-8,7.161E-9,-6.532E-17,-5.229E-11,-1.556E-16,5.271,4.341,0.930,62.757
441,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,22053.413,3634.035,434.904,528.810,0.991,1.102,0.907,1.377,0,1,375360,3642.697,2874.617,2722.845,2243.882,-285.204,-0.199,-0.118,-1.340,-1.494,-24.990,208238281930.601,0.013,3.937E-6,3.045E-7,1.837E-8,4.639E-16,2.707E-11,1.293E-15,4.608,4.390,0.218,43.456
442,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,100736.221,4218.733,338.568,1185.513,0.901,1.021,0.979,1.335,0,1,944265,4225.152,2961.180,10887.491,11592.196,-1463.171,-0.278,-0.035,-1.406,-1.498,-51.770,8.555E12,0.024,1.016E-5,3.979E-7,1.071E-7,2.210E-14,1.050E-10,2.020E-16,5.435,5.240,0.194,33.618
443,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,135012.037,2947.433,294.019,1283.025,1.000,1.125,0.889,1.461,0,1,1015155,2952.260,2975.248,13113.698,15263.221,3638.929,-0.092,0.243,-1.458,-1.374,53.227,5.846E13,0.028,5.588E-5,2.370E-6,3.284E-8,5.317E-15,2.356E-10,7.461E-15,5.827,5.431,0.395,40.333
444,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,24960.792,644.838,411.516,509.555,1.000,1.209,0.827,1.751,0,1,421005,643.497,2883.657,3136.015,2016.040,133.384,-0.035,-2.433E-4,-1.455,-1.442,6.699,558046189190.499,0.012,7.478E-6,1.370E-7,2.187E-8,8.385E-16,3.831E-11,8.546E-16,4.584,4.256,0.328,34.379
445,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,79392.287,824.145,337.454,937.702,1.000,1.008,0.992,1.453,0,1,828750,824.307,2961.466,8951.654,9315.229,919.651,0.173,-0.008,-1.491,-1.567,50.591,2.913E12,0.022,5.118E-6,2.181E-7,2.231E-8,3.263E-16,-4.998E-11,1.522E-15,5.283,5.135,0.149,35.729
446,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,179128.786,2024.168,291.792,1519.727,0.975,1.359,0.736,1.366,0,1,1339005,2027.397,3011.368,27377.030,14591.008,-1520.927,-0.060,0.130,-1.461,-1.569,-6.691,2.313E14,0.031,9.634E-5,1.187E-7,1.499E-7,5.356E-15,-1.066E-10,1.926E-14,6.043,5.576,0.468,50.074
447,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,13362.285,3928.611,427.108,392.509,1.000,1.642,0.609,1.971,0,1,301665,3921.538,2871.626,2270.139,640.475,-355.544,0.122,0.095,-1.360,-1.102,-11.787,953698613061.744,0.010,3.474E-5,7.178E-8,1.023E-8,1.197E-16,2.594E-11,2.499E-16,4.638,3.613,1.025,74.932
448,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,63763.884,4429.224,358.615,876.816,1.000,1.235,0.810,1.469,0,1,695385,4421.173,2945.315,7928.815,5631.107,1135.594,0.106,-0.022,-1.395,-1.566,22.334,7.258E12,0.019,2.159E-5,1.593E-7,2.440E-8,9.117E-16,9.271E-11,-1.217E-15,5.274,4.923,0.350,47.012
449,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,34055.034,1295.244,395.367,641.196,1.000,1.576,0.635,1.351,0,1,461550,1296.591,2909.207,5893.770,2790.605,596.974,-0.031,-0.189,-1.485,-1.596,10.522,5.103E12,0.019,5.190E-5,4.248E-8,1.716E-8,-2.579E-16,8.710E-11,3.848E-16,5.382,4.800,0.582,51.192
450,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,8062.271,481.679,437.688,350.813,0.823,2.404,0.416,1.400,0,1,200175,479.497,2860.110,2091.625,432.794,-151.256,-0.067,-0.047,-1.398,-1.580,-5.168,569144328038.422,0.013,7.096E-5,9.124E-8,2.118E-8,5.987E-16,-4.592E-11,-7.129E-16,5.075,3.910,1.164,67.972
451,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,23275.157,267.847,390.355,555.520,0.948,1.030,0.971,1.407,0,1,396015,276.245,2904.275,2639.034,2182.646,-123.053,-0.138,0.282,-1.436,-1.277,-14.168,106471735183.972,0.012,1.714E-6,2.356E-7,1.210E-8,6.265E-16,-1.405E-11,1.586E-16,4.433,4.278,0.156,19.433
452,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,24891.333,398.708,364.740,576.844,0.940,1.491,0.671,1.424,0,1,424065,394.285,2941.964,2001.159,3918.825,429.627,-0.011,-0.091,-1.688,-1.333,77.932,1.873E12,0.014,2.456E-5,2.100E-8,5.503E-9,4.498E-17,2.479E-11,3.844E-17,4.922,4.386,0.535,63.113
453,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,30183.904,513.977,364.740,595.679,1.000,1.013,0.987,1.408,0,1,423555,518.952,2941.274,3475.719,3281.312,132.039,-0.172,-0.015,-1.516,-1.536,26.820,45545571413.634,0.016,5.994E-7,1.562E-7,6.169E-9,-3.171E-17,-3.685E-12,1.889E-16,4.744,4.674,0.070,17.712
454,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,9377.042,3785.499,413.186,387.645,0.784,2.593,0.386,1.357,0,1,275910,3788.585,2887.302,2608.608,439.564,-11.701,-0.087,-0.015,-1.355,-1.757,-0.309,1.298E12,0.011,6.181E-5,1.244E-8,5.038E-9,3.976E-17,3.884E-11,3.103E-18,4.921,3.636,1.285,74.341
455,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,29927.151,1063.593,375.320,642.455,0.911,1.793,0.558,1.453,0,1,509235,1068.121,2926.929,5489.573,2050.532,-231.751,-0.180,0.082,-1.318,-1.649,-3.838,6.132E12,0.015,4.644E-5,1.400E-7,2.160E-8,1.155E-15,1.462E-10,2.805E-16,5.114,4.397,0.718,64.829
456,Cropped_MAX_File_166_08-19-19_DYM_34_8_Dist8_Chat-g_SubP-r_Calb-b.lif - TileScan_001_Merging001_Processed001-watershed-lines.tif,66001.475,140.884,318.521,844.710,1.000,1.184,0.845,1.563,0,1,678810,160.938,2986.582,7009.972,6560.063,-848.145,-0.345,-0.015,-1.202,-1.551,-37.573,2.091E12,0.020,6.684E-6,6.416E-7,1.664E-7,4.491E-14,4.200E-10,3.064E-14,5.177,4.989,0.188,40.246
