 ,Image,Area,X,Y,Perim.,Circ.,AR,Round,Solidity,Cutoff,Factor,Mass,xC,yC,xxVar,yyVar,xyVar,xSkew,ySkew,xKurt,yKurt,Orient.,Eccentr.,Hu0,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Ext.,Disp.,Elong.,CutAngle
71,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,53576.340,1777.492,1189.034,822.723,0.995,1.209,0.827,1.381,0,1,454920,1775.410,1029.476,5880.456,7064.392,-1590.137,0.127,0.045,-1.581,-1.455,-55.210,5.239E12,0.028,5.564E-5,2.425E-7,1.786E-8,-1.067E-15,-1.142E-10,-4.926E-16,5.847,5.459,0.387,44.736
72,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,45904.223,1314.753,1184.490,728.938,1.000,1.344,0.744,1.651,0,1,430185,1330.267,1045.573,6940.945,3359.866,-1429.282,-0.261,-0.124,-1.362,-1.399,-19.299,9.032E12,0.024,1.135E-4,1.625E-6,1.967E-7,9.863E-14,2.071E-9,5.145E-14,5.793,5.103,0.690,63.551
73,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,58621.491,1091.336,1138.291,807.676,1.000,1.092,0.916,1.442,0,1,439365,1103.584,1098.248,6025.748,6701.201,-396.202,-0.228,-0.079,-1.457,-1.470,-65.222,476333514213.779,0.029,5.616E-6,1.121E-6,1.084E-7,3.773E-14,-1.163E-11,-2.039E-15,5.650,5.532,0.118,36.676
74,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,67108.083,1550.288,1096.637,966.548,0.903,1.300,0.769,1.608,0,1,687225,1558.473,1135.386,9828.582,5011.856,-611.217,-0.145,-0.125,-1.508,-1.487,-7.120,1.697E13,0.022,5.229E-5,1.713E-8,1.179E-7,5.243E-15,3.795E-10,-7.611E-16,5.529,5.027,0.502,60.755
75,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,27146.080,1984.247,1130.718,594.290,0.966,1.563,0.640,1.348,0,1,308550,1980.527,1096.000,5001.754,2254.279,-202.831,0.020,-0.008,-1.457,-1.638,-4.199,2.380E12,0.024,8.102E-5,8.583E-8,1.761E-8,5.924E-16,1.114E-11,3.430E-16,5.703,5.121,0.582,58.668
76,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,23401.793,2109.209,1073.917,487.044,1.000,1.412,0.708,1.735,0,1,254490,2101.783,1151.362,1626.023,3030.874,-329.132,0.271,0.030,-1.291,-1.335,-77.447,612536531072.259,0.018,3.716E-5,3.528E-7,1.407E-8,-2.837E-16,7.886E-11,9.495E-16,5.289,4.789,0.500,48.809
77,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,63574.871,1304.150,1023.175,914.098,0.956,1.043,0.959,1.341,0,1,535755,1304.532,1209.404,7848.576,6763.381,573.661,-0.018,-0.183,-1.592,-1.531,23.297,1.336E12,0.027,8.689E-6,4.474E-8,1.655E-7,-1.265E-14,-3.237E-10,6.536E-15,5.598,5.441,0.157,45.374
78,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,25232.639,1786.580,1081.490,558.216,1.000,1.808,0.553,1.686,0,1,248115,1799.375,1147.043,5031.318,1318.316,-920.093,-0.274,0.041,-1.361,-1.257,-13.182,4.261E12,0.026,2.790E-4,2.163E-6,4.932E-7,3.945E-13,7.664E-9,3.223E-13,6.082,4.957,1.125,66.679
79,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,63707.940,861.860,1004.241,904.947,0.978,1.141,0.876,1.310,0,1,526320,859.628,1228.559,8577.742,6679.944,162.120,-0.046,-0.206,-1.408,-1.542,4.848,1.951E12,0.029,1.338E-5,3.413E-10,1.662E-7,-7.066E-17,-4.313E-10,1.250E-15,5.709,5.526,0.183,51.215
80,MAX_File_95_01-30-2019_DYM_3_6_Chat_3BYFP_of_9-19-18_6_Ds_GFP-g_CalB_d28-m_Enk-r_Hu-b.lif - TileScan_001_Merging001_ProjMax001-watershed-lines.tif,64432.936,495.304,1021.660,911.131,0.975,1.983,0.504,1.588,0,1,467415,515.126,1207.968,12936.864,3302.142,-1131.255,-0.330,-0.051,-1.248,-1.403,-6.608,4.578E13,0.035,4.483E-4,4.739E-6,2.448E-6,8.266E-12,4.845E-8,1.116E-12,6.485,5.464,1.021,68.245
