"x","y"
2549.09497540685,-2238.62316903908
2593.64841289883,-3549.95126603378
5261.23987192269,-516.441983714188
1335.25940015179,-1970.08486708646
3273.18498900676,-600.48191547549
4818.21517335392,-850.720658864429
340.34397181272,-95.293575834568
1002.67377464655,-2070.0800321956
3391.4094236283,-1888.41287038725
2877.70069161641,-3159.64789103016
4158.43009644148,-3405.01555740745
2864.93446741659,-1842.61570021498
1417.04956150449,-469.08499947945
3372.55304842304,-2600.36270966625
27.3231293817619,-1682.98624984665
211.482428477309,-1285.43283054141
3341.5898664389,-3028.01406032324
2334.58559092346,-54.8308479676748
997.734566844084,-2748.35296997334
2587.31515459203,-648.381565034116
40.193673214718,-453.79602240485
387.799127700282,-3534.99832772111
3580.60306184731,-139.707094637655
2003.78627678019,-3019.39220391777
3201.27355905478,-859.730435356394
1745.02302426791,-3171.77088261028
2132.161220812,-2009.67052859617
3186.10263615115,-3158.62867052468
1259.74450883027,-341.170381151844
1267.72457789532,-2644.39920273951
3541.28394454772,-949.066454709155
4932.16584442723,-861.253111318076
5123.21667560148,-1003.7742924174
4210.37292787285,-2990.67286269516
3357.91905010793,-1066.52623808873
4492.9305639587,-3038.29167539576
2603.7401565866,-1351.54336127116
3379.17866562449,-2918.88100040449
2957.67026679522,-1153.68217700143
4776.5687092013,-2419.79320280892
3629.65868357328,-2465.29496675997
3780.6598363757,-653.228087108197
4497.68695111002,-2704.36282224056
898.423897797009,-1707.52156271189
2856.85982142112,-2124.65043178594
1405.7081308261,-3398.90227222001
2560.37997465945,-329.35666848089
1476.08066823627,-3579.1824252359
231.172278027877,-2464.16792371407
2978.34952287748,-1621.87502132492
1143.01842603905,-1790.83890371683
2924.99383593024,-3025.68890752943
3232.2214212468,-3471.07983167098
4848.59738267952,-326.209478619179
3121.71565086158,-722.040061766032
4191.88881579049,-2595.21239681826
3107.95513773924,-309.080591155901
3430.73020368834,-217.646120891562
2878.2876242696,-677.973615994575
5194.06643052916,-169.642789645211
2598.66690706081,-2220.78257374067
4078.9466786568,-553.564690243465
4996.06591151775,-2661.21908920833
603.252796422053,-1968.43180404129
818.06360706437,-2626.01345858279
2601.19084444892,-980.368058271216
154.827072886904,-49.9735708171733
1005.18244748499,-1719.94568842762
2136.12226855966,-605.350668370591
3231.36145140341,-359.846790280095
2762.35041656309,-127.103682687389
1038.48752976203,-2426.40054650705
409.488158114157,-3042.82663644804
4643.53570647933,-459.424795718664
3721.32881105099,-496.993160031409
4936.66571530989,-2122.58183585916
4450.61039218702,-1760.07018090205
4564.33338022721,-745.341709669324
4712.55544834624,-1879.83142082729
279.590964613382,-1129.47748708737
4183.40091823302,-2470.85481727399
4988.03866670936,-1088.03131173097
360.019723876713,-2517.58930972607
4118.63667244077,-2807.53927057965
482.798454975313,-405.146804976595
1104.25823889033,-2631.06841990397
1630.18029932803,-246.884777228069
1490.246796232,-2760.74394015818
4016.09009043966,-2464.8195544645
487.247148954655,-265.792596949722
4781.30586702655,-2426.19031990502
825.717367186639,-2461.57312204839
4013.55608487283,-2274.90650665092
1999.95495850477,-1156.08183725644
4123.51822447555,-1875.92582877065
634.480480724025,-897.016927227743
4665.4481353416,-3342.61526344879
5283.23024756285,-674.555818796778
3818.62242271158,-2725.21591050295
2870.04696145767,-2051.72157448335
3643.47137464378,-2641.102310315
13.4480692706785,-1239.16457308081
1819.37149433031,-553.737956995518
