"x","y"
1277.30241341661,-1138.72706476284
1304.93486803823,-1196.74362360449
1425.45172248558,-1118.17432828623
1253.62741705144,-1151.67671930662
1249.50098544867,-1048.09963743335
1406.73423393061,-1174.98795214012
1398.37799268663,-1082.91769163803
1229.88226068081,-1096.94416062874
1299.45945401077,-1152.8661966497
1314.90940633372,-1147.11450347283
1347.64964992136,-1212.67552252327
1256.35419266643,-1170.50940629134
1261.07200483385,-1160.99249531627
1230.25060778338,-1185.86994313197
1330.948872292,-1110.33884021904
1308.44873151202,-1086.92492108857
1224.23644451462,-1158.49920393991
1304.98326498863,-1192.56737946397
1340.21321194111,-1211.12502095233
1300.210493908,-1066.80158201165
1353.39806029158,-1219.97157231993
1340.08445306492,-1084.45811592523
1318.89448995768,-1206.09777552949
1361.32168019383,-1176.22054847121
1333.96228414842,-1132.53752297726
1405.15181063955,-1141.02336706746
1382.70764998027,-1116.61318032276
1244.51277918615,-1073.69555971518
1286.97977959358,-1092.31339614804
1284.60546843277,-1147.91560574669
1355.60123613253,-1143.6539815024
1321.23514628573,-1091.00360624768
1293.41240151657,-1193.17642833923
1361.91921622157,-1118.34868196597
1271.06799026925,-1191.13907675975
1264.0600144141,-1175.31458320635
1405.53543137732,-1152.65075167625
1314.24454537829,-1139.892133024
1331.63406663249,-1116.14617276539
1339.92328344676,-1100.95019433686
1302.42310287001,-1129.0345051123
1262.01034364134,-1154.20980287412
1357.56728421428,-1174.54877750954
1354.86478198858,-1071.19349421482
1256.50729107158,-1121.46621314109
1231.32336920825,-1068.10707288548
1307.95304975782,-1148.4111876075
1413.76920957404,-1158.19763742178
1248.83308926067,-1027.12597797286
1310.84813438516,-1084.72951360834
1237.82490525753,-1140.19694816313
1336.86805745152,-1213.92539686641
1353.67867051164,-1144.37561850378
1260.19258122194,-1174.58165727433
1232.4889835303,-1158.05765632861
1313.4894734001,-1198.11227443872
1314.62707267014,-1118.91514121104
1367.02298404732,-1167.52457717672
1267.34962655447,-1198.70886621161
1244.8205129887,-1086.09864273369
1264.00746136705,-1225.39077498019
1281.68667457029,-1137.39558836192
1313.28078620041,-1154.89571096529
1252.19950869949,-1162.11672409444
1325.77200282759,-1096.05499602535
1235.80409653208,-1151.18158387539
1283.84349239316,-1103.17900329268
1317.59636649533,-1101.77972337783
1255.94118353793,-1047.63744681026
1345.06504590415,-1135.79567690739
1293.38784225197,-1061.80427101311
1263.55313757591,-1135.13088485853
1297.3987548777,-1176.95829908967
1348.85484776916,-1168.17350961869
1367.00645801893,-1043.49500843754
1291.66636398091,-1203.72446555254
1368.76893829312,-1072.75940734195
1285.80211085905,-1061.9376468219
1403.34228073081,-1120.72553652455
1270.20772705226,-1136.77227123921
1278.1791271956,-1064.53292876107
1279.1018300545,-1130.16341736148
1255.24171284803,-1023.37712682634
1358.9231964769,-1097.34199860431
1341.31893142197,-1127.51392078473
1245.12670844248,-1219.30238063007
1377.59943079772,-1006.08717384504
1354.67254191808,-1152.42821937097
1285.18703886833,-1210.94198617154
1298.78563776994,-1131.36604444782
1280.28818691899,-1096.04142001571
1297.08257267415,-1133.53851709075
1326.62187042534,-1127.80644156711
1282.74738670697,-1105.28277539726
1321.44148591053,-1138.05821748313
1274.9822668424,-1018.75288641932
1259.99404193678,-1168.22871074011
1274.56640182057,-1197.43745433259
1271.89594996687,-1107.81806601019
1362.99610049747,-1065.06353767566
1400.91679812533,-1184.00801992533
1409.76510241895,-1158.65471432333
1352.50944066868,-1206.67573829156
1322.04372825575,-1097.96338560066
1300.98550789251,-1053.65163988269
1299.96028227073,-1177.46448998427
1357.29006527531,-1151.54746174489
1292.6358698521,-1069.43310886725
1248.03767444474,-1119.61825920977
1337.37625073243,-1221.03130104569
1409.95636455471,-1221.89258113277
1324.75881339118,-1157.85829652235
1283.46241446011,-1226.38615336596
1328.17020378642,-1052.41898928943
1319.35601283785,-1042.02014791315
1317.99974463467,-1085.44855695249
1240.35647613855,-1165.38785526044
1347.902325478,-1192.06044855094
1393.33777800296,-1215.74728953667
1343.4188366132,-1121.96113887852
1230.51200296599,-1168.55812863949
1219.73669634224,-1151.11096952117
1218.1299166987,-1161.61247889185
1249.08644948513,-1226.91780503618
1306.94008597034,-1187.46500607109
1322.93009470042,-1115.21074728683
1354.6831169347,-1090.47100418759
1347.01647989259,-1101.40285170877
1249.01861796927,-1062.02212454133
1300.26628280751,-1160.97043898176
1274.27692551272,-1134.01084942461
1338.20034199431,-1204.5919531747
1328.89980087073,-1177.53236708819
1265.28199226817,-1106.40330242131
1255.40557053125,-1160.6536778539
1279.4323300669,-1183.2618498893
1381.90461335281,-1075.764896401
1322.96694455461,-1136.57168123521
1281.14686381372,-1077.2917069138
1217.07476090064,-1096.67017356173
1313.55369889064,-1173.00438861344
1300.18838040488,-1167.23765690691
1331.86343661887,-1148.58075657086
1290.89442255797,-1185.34872981959
1314.60357517551,-1226.38975292832
1332.87839934093,-1061.74685133778
1296.8469919371,-1123.71005127082
1400.05886617464,-1081.25326230172
1304.17010068914,-1158.01397501715
1364.65919246607,-1187.71747682863
1277.44366245029,-1037.8765490566
1319.22085478311,-1048.84225589504
1333.6827512041,-1120.05717029624
1274.50687298582,-1119.86264353321
1273.85434073799,-1160.59688551032
1361.46741378288,-1112.65047895053
1304.98001077066,-1060.87069730103
1332.14206379492,-1098.77742307232
1339.01765987953,-1190.65437549188
1327.82157605603,-1140.27850465144
1266.84085377422,-1166.78386533664
1362.73386860968,-1134.87250673269
1313.59477726818,-1087.68604492382
1298.60148285686,-1130.16342228033
1266.44936390779,-1116.6292503011
1396.62225321067,-1020.28360533643
1304.76159269266,-1124.19914039372
1300.94851146299,-1127.24811358663
1316.6134643191,-1156.37244939267
1274.87902839463,-1168.14805633528
1334.75495402821,-1081.17196566546
1281.76577313174,-1127.76462719932
1284.6728977953,-1130.32941415791
1411.83530800226,-1165.65442013984
1313.52506415882,-1183.10474306109
1390.91105563093,-1239.39242881792
1353.51259082229,-1109.84107171552
1287.16169020112,-1202.98317428987
1237.40198736764,-1231.23600711364
1387.25327152759,-1162.81308732712
1277.90312030049,-1144.59534133576
1309.38974264348,-1128.80914038395
1321.98585830283,-1037.00713911573
1229.3544549569,-1230.68813169548
1293.11621699171,-1012.02493657635
1224.51846563497,-1135.15989438978
1283.40198779407,-1082.96159510106
1313.29366758439,-1166.68798505935
1338.70578996535,-1133.06355672321
1269.11607311046,-1163.11206810375
1237.92231482672,-1200.2417795119
1282.96938551272,-1200.97211643098
1376.30609029302,-1142.08363288273
1387.43317510854,-1108.62285199849
1303.6937114348,-1124.78089291471
1458.95224769315,-1074.19002889323
1364.43509163633,-1120.24764361895
1204.06599391647,-1151.93365762271
1365.35391655007,-1161.78637427133
1319.20478848509,-1145.28521987478
1259.58271385108,-1060.07283185927
1279.23528132037,-1200.58871187871
1257.01383939844,-1125.90377538512
1334.5349582515,-1062.9543915535
1386.66272537313,-1136.22225078995
1368.60531319365,-1130.20650315599
1414.46512362673,-1200.96555897104
1362.86932569237,-1194.36922526154
1315.86161322743,-1121.04561747114
1379.59618377384,-1111.63069499963
1307.69512536455,-1116.69582944747
1235.64784060892,-1141.08986148924
